SIGNIFICANT TEMPERATURE AND HUMIDITY LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         984.85          +0.22           -0.1          98.00            0.0            4.9            135            0.0            0.0   T+H
         946.10          -2.63           -3.0          97.13          314.4           12.3            149           69.0          241.3   T
         944.18          -1.77           -2.2          96.91          330.4           12.6            152           73.0          231.6   H
         930.72          +4.33           -3.8          55.57          443.2           15.5            171          108.0          184.3   H
         927.19          +5.07           -3.7          53.12          474.4           15.4            171          118.0          189.9   T
         875.30          +3.16          -14.3          26.47          942.9           15.0            161          270.0          179.7   H
         843.34          +1.50           -9.7          43.04         1240.6           14.3            126          364.0          189.0   H
         797.26          -1.87          -13.2          41.60         1688.2            8.2            124          507.0          190.2   T
         759.63          -1.56          -16.0          32.32         2073.3            7.5            230          629.0          184.6   H
         703.99          -1.86           -8.5          60.57         2674.2           12.5            273          816.0          187.5   T
         675.21          -4.15           -9.6          65.99         3005.6           15.1            259          914.0          205.2   H
         567.41         -13.37          -19.3          61.00         4347.0           37.7            253         1319.0          196.4   T
         523.78         -15.08          -21.6          57.69         4950.0           47.0            262         1511.0          194.0   T
         458.49         -21.89          -28.9          53.30         5928.9           59.1            252         1811.0          193.8   H
         437.50         -24.70          -28.7          69.13         6268.1           58.5            256         1917.0          191.3   H
         408.10         -26.78          -35.7          42.56         6766.6           69.5            253         2073.0          187.9   H
         375.65         -32.04          -38.5          52.54         7351.0           72.3            253         2260.0          189.7   H
         335.60         -37.49          -50.3          25.30         8122.1           80.2            249         2498.0          204.0   T
         329.73         -37.86          -51.3          23.50         8242.6           83.7            250         2533.0          211.6   H
         299.98         -41.40          -45.7          63.00         8885.7          113.0            253         2718.0          207.3   H
         295.05         -41.80          -46.6          59.86         8996.8          116.2            251         2749.0          238.0   T
         270.97         -46.45          -49.4          71.64         9557.2          119.8            243         2884.0          198.5   H
         250.41         -49.95          -55.3          53.87        10066.8          128.4            244         3041.0          220.0   H
         247.80         -50.32          -57.9          40.73        10134.4          130.2            244         3059.0          230.8   T
         243.61         -49.62          -61.5          24.05        10245.0          133.2            244         3087.0          237.8   H
         231.76         -49.73          -63.7          18.38        10559.9          136.3            242         3177.0          198.5   T
         194.26         -54.06          -71.3          10.75        11689.6          128.5            249         3484.0          207.8   T
         187.50         -53.00          -72.8           7.69        11911.9          122.5            251         3548.0          220.0   H
         182.35         -52.70          -72.3           7.97        12091.7          115.8            253         3595.0          234.3   T
         166.92         -56.54          -76.0           7.33        12651.3          101.2            252         3742.0          223.1   T
         153.12         -55.91          -76.4           6.39        13188.3          104.3            258         3891.0          231.6   T
         101.73         -65.22          -81.6           9.35        15677.0           67.3            268         4532.0          231.2   T
          85.69         -67.64          -83.4           9.61        16687.4           64.6            266         4798.0          231.8   T
          78.32         -62.89          -79.7           9.32        17214.1           42.5            274         4938.0          240.1   T
          67.25         -67.05          -83.9           8.30        18116.1           54.3            242         5164.0          235.9   T
          54.92         -60.22          -80.0           6.32        19312.6           13.2            302         5467.0          227.7   T
          41.83         -62.81          -82.8           5.64        20889.5            5.2            233         5859.0          251.5   T
          33.74         -59.57          -81.8           4.38        22179.8            5.8            214         6188.0           71.4   T+H

SIGNIFICANT WIND SPEED AND DIRECTION LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         984.85          +0.22           -0.1          98.00            0.0            4.9            135            0.0            0.0   S+D
         962.40          -1.53           -1.7          98.83          179.7           10.6            125           39.0          281.4   D
         933.51          +2.45           -4.3          61.03          419.0           15.4            169          100.0          179.9   D
         932.12          +3.58           -3.8          58.32          431.1           15.6            170          104.0          181.8   S
         910.49          +4.22           -5.3          49.74          622.9           15.0            172          165.0          184.1   D
         879.24          +3.15          -12.6          30.32          906.8           14.5            164          258.0          179.8   D
         843.34          +1.50           -9.7          43.04         1240.6           14.3            126          364.0          189.0   D
         805.76          -1.19          -12.0          43.66         1603.3            9.7            117          480.0          187.8   D
         724.58          -1.90          -12.6          43.84         2446.4            8.0            242          746.0          213.2   S
         715.47          -2.44          -11.6          49.23         2546.7           10.2            264          775.0          191.9   D
         697.90          -2.32           -8.7          61.75         2743.1           12.9            275          838.0          188.1   D
         669.70          -4.47          -10.0          65.49         3069.3           16.4            257          933.0          204.3   D
         560.45         -13.86          -19.6          62.09         4440.5           39.4            253         1348.0          190.7   D
         532.07         -14.73          -20.2          62.88         4832.2           45.5            265         1474.0          189.1   D
         469.61         -20.56          -27.0          56.33         5753.3           57.8            254         1757.0          192.3   S
         348.86         -35.54          -46.2          32.80         7858.8           75.4            251         2420.0          191.9   S
         296.41         -41.70          -46.4          60.34         8966.1          115.8            252         2741.0          223.6   S
         224.53         -50.98          -65.5          16.59        10763.7          139.3            240         3230.0          240.0   S
         223.18         -51.34          -65.9          16.46        10802.4          139.1            240         3240.0          226.5   D
         140.44         -58.30          -78.0           6.67        13725.6           89.2            265         4029.0          235.8   D
         108.98         -63.74          -80.8           8.68        15267.4           62.6            259         4427.0          241.7   S
          82.35         -66.34          -83.6           7.83        16921.3           61.7            261         4861.0          218.4   D
          81.40         -65.72          -84.0           6.79        16986.6           61.0            263         4879.0          220.7   S
          78.11         -62.94          -79.9           8.97        17230.0           41.3            274         4942.0          238.4   D
          75.88         -63.75          -80.7           8.85        17404.2           34.2            267         4986.0          240.6   S
          67.91         -66.88          -84.1           7.83        18056.3           51.9            241         5149.0          240.8   D
          65.00         -66.17          -84.1           7.09        18318.2           58.6            255         5217.0          227.7   S
          54.89         -60.24          -80.2           6.10        19316.3           12.9            302         5468.0          227.4   D
          53.48         -61.19          -80.1           6.99        19468.1            6.9            283         5507.0          240.2   S
          51.11         -60.66          -81.8           5.00        19733.9           16.8            216         5575.0          235.0   D
          50.24         -59.97          -80.1           5.98        19834.5           19.2            216         5601.0          232.4   S
          45.12         -61.73          -81.1           6.40        20471.7            9.7            246         5758.0          258.5   D
          42.92         -62.53          -81.8           6.36        20747.4            3.8            253         5825.0          251.8   S
          33.74         -59.57          -81.8           4.38        22179.8            5.8            214         6188.0           71.4   S+D
