
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 101203/2200
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2200

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    991.00   248.00     2.00    -4.10     0.00     0.00
    970.60   510.00    -0.70    -6.90   246.00     4.00
    925.00   799.00    -3.40    -7.10   270.00     4.00
    861.20  1356.00    -8.50    -8.90   313.00     4.00
    859.90  1368.00    -8.50    -8.90   309.00     4.00
    850.00  1462.00    -7.80   -10.80   297.00     6.00
    840.60  1544.00    -7.30   -14.10   305.00     6.00
    828.80  1654.00    -6.60   -14.40   310.00     9.00
    813.40  1801.00    -6.70   -21.30   331.00    14.00
    759.50  2336.00    -5.90   -35.40   326.00    19.00
    745.90  2477.00    -6.30   -37.20   321.00    21.00
    723.80  2712.00    -7.50   -24.50   317.00    21.00
    700.00  2978.00    -8.80   -23.50   314.00    26.00
    653.00  3506.00   -12.70   -24.00   310.00    33.00
    652.60  3511.00   -12.70   -23.90   310.00    33.00
    641.00  3648.00   -11.70   -29.40   312.00    32.00
    638.70  3674.00   -11.50   -27.00   313.00    32.00
    629.60  3784.00   -12.40   -20.70   315.00    33.00
    607.20  4060.00   -14.70   -19.40   317.00    35.00
    600.80  4141.00   -13.70   -17.40   318.00    37.00
    591.00  4266.00   -14.50   -17.30   317.00    39.00
    500.00  5514.00   -22.80   -25.30   311.00    63.00
    475.70  5876.00   -24.40   -26.20   304.00    69.00
    439.00  6456.00   -28.00   -30.30   303.00    81.00
    400.00  7121.00   -32.80   -35.50   303.00    80.00
    338.10  8277.00   -42.40   -46.40   309.00    94.00
    300.00  9082.00   -47.70   -52.50   310.00   116.00
    284.80  9416.00   -50.50   -55.70   313.00   125.00
    250.00 10263.00   -52.90   -59.90   313.00   125.00
    225.60 10923.00   -54.60   -63.20   317.00    95.00
    214.60 11242.00   -53.20   -62.50   322.00    86.00
    200.00 11697.00   -53.60   -63.50   312.00    77.00
    163.40 12996.00   -52.10   -63.60   313.00    66.00
    150.00 13548.00   -53.30   -65.10   311.00    67.00
    118.40 15061.00   -54.60   -67.00   314.00    59.00
    100.00 16131.00   -59.20   -71.40   307.00    44.00
     70.00 18352.00   -60.80   -73.00   316.00    26.00
     67.70 18554.00   -61.00   -73.40   304.00    33.00
