
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 140222/2100
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2100

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    985.00   245.00     0.60    -7.10   240.00    13.00
    981.50   275.00     0.80   -10.80   240.00     9.00
    938.20   639.00    -2.20   -11.70   264.00    18.00
    925.00   750.00    -1.50    -9.20   268.00    26.00
    923.90   755.00    -1.30    -9.30   268.00    26.00
    920.80   780.00    -1.50    -9.80   266.00    27.00
    908.20   890.00    -1.90    -6.40   263.00    29.00
    867.50  1261.00    -3.70    -7.00   254.00    33.00
    853.20  1388.00    -3.90    -8.30   262.00    33.00
    850.00  1427.00    -4.10    -8.80   265.00    32.00
    816.60  1731.00    -6.10   -12.00   282.00    36.00
    769.60  2189.00    -9.40   -11.80   266.00    38.00
    727.80  2625.00   -11.30   -17.40   276.00    52.00
    703.50  2884.00   -13.80   -18.60   277.00    53.00
    700.00  2928.00   -13.90   -18.50   277.00    54.00
    685.60  3085.00   -13.70   -16.70   268.00    58.00
    669.10  3262.00   -14.90   -17.60   260.00    59.00
    501.00  5373.00   -29.10   -32.60   261.00    90.00
    500.00  5400.00   -29.30   -32.90   260.00    90.00
    416.10  6671.00   -39.50   -42.10   261.00   103.00
    400.00  6941.00   -41.90   -44.80   262.00   101.00
    353.30  7756.00   -48.50   -52.20   264.00   115.00
    322.00  8361.00   -51.80   -55.80   267.00   130.00
    321.10  8380.00   -51.80   -55.80   268.00   130.00
    300.00  8816.00   -51.90   -58.80   271.00   131.00
    270.10  9495.00   -50.90   -64.10   270.00   107.00
    250.00  9994.00   -49.40   -69.00   267.00    96.00
    245.60 10106.00   -49.50   -70.40   266.00    96.00
    200.00 11448.00   -46.90   -74.50   262.00    89.00
    165.40 12697.00   -43.60   -74.00   258.00    70.00
    155.20 13116.00   -46.00   -75.70   265.00    69.00
    150.00 13342.00   -45.30   -75.50   261.00    61.00
    142.60 13672.00   -44.30   -75.00   263.00    62.00
    100.00 15948.00   -52.90   -79.10   257.00    31.00
     75.20 17696.00   -56.90   -81.10   282.00    17.00
