SIGNIFICANT TEMPERATURE AND HUMIDITY LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         998.80          +1.80           -8.6          46.00            0.0            5.0            200            0.0              0   T+H
         991.53          -1.49          -10.5          50.09           58.5            3.3            216            1.0            850   T
         886.58          -9.77          -11.7          85.74          935.8            8.4            294          139.0            280   H
         885.51          -9.84          -12.3          82.34          945.1            8.8            294          141.0            274   T
         879.72          -8.72          -18.9          43.65          995.8           10.8            293          153.0            249   H
         859.31          -7.47          -28.1          17.46         1178.0           14.2            285          195.0            271   T+H
         777.81         -11.37          -37.6           9.49         1946.7           16.2            275          335.0            286   T
         726.26          -8.91          -53.6           1.37         2474.8           25.2            295          458.0            215   H
         721.13          -8.82          -50.7           1.89         2529.6           26.4            295          473.0            233   T
         654.48         -11.68          -37.1          10.18         3276.1           37.2            288          636.0            311   H
         637.45         -12.73          -31.2          19.79         3477.5           38.4            287          681.0            221   H
         633.48         -12.91          -19.4          58.20         3525.1           38.2            288          694.0            221   H
         604.31         -13.59          -20.0          58.39         3883.6           42.1            285          782.0            257   H
         593.00         -13.71          -21.8          50.35         4027.3           47.2            283          819.0            217   H
         587.39         -14.01          -43.8           6.15         4099.4           48.6            283          839.0            218   H
         548.99         -17.49          -36.1          18.13         4608.5           54.1            278          974.0            250   H
         543.50         -17.17          -20.3          76.36         4683.9           56.5            279          992.0            256   H
         533.30         -17.51          -21.5          71.15         4825.9           60.5            280         1025.0            253   T
         461.53         -23.93          -25.7          85.34         5893.9           65.5            275         1282.0            234   H
         452.10         -24.59          -28.0          73.56         6044.3           66.3            274         1321.0            232   T
         365.70         -36.57          -44.4          44.40         7550.8           68.8            277         1708.0            260   H
         297.55         -48.58          -54.9          48.24         8942.7           81.3            279         2059.0            232   T
         265.22         -53.28          -59.4          47.48         9691.4           94.4            276         2242.0            256   H
         212.56         -62.26          -71.0          30.84        11087.1           99.0            285         2578.0            271   T
         193.34         -61.19          -72.7          21.03        11674.2           88.3            268         2704.0            241   T
         185.32         -59.19          -73.0          15.76        11938.5          100.3            270         2766.0            281   T
         175.09         -60.18          -75.6          12.10        12293.6           87.9            275         2845.0            262   T
         153.43         -58.23          -77.9           6.81        13121.5           79.9            276         3038.0            260   H
         145.65         -56.93          -76.3           7.32        13449.4           76.0            272         3112.0            274   T
         121.94         -61.05          -80.5           6.50        14564.9           81.7            268         3368.0            253   T
         120.85         -59.18          -78.3           7.16        14621.0           83.1            270         3381.0            263   T
         117.54         -58.37          -78.6           6.16        14794.9           81.9            277         3419.0            295   T
         106.06         -61.08          -81.5           5.57        15436.4           67.0            273         3552.0            284   T
         102.62         -59.72          -81.0           5.04        15641.8           66.5            274         3598.0            265   T
          75.96         -62.48          -83.1           5.13        17515.6           67.2            266         4011.0            274   T
          69.45         -58.29          -82.6           3.29        18074.5           57.4            262         4131.0            274   T
          57.13         -61.74          -86.9           2.49        19290.6           49.5            259         4389.0            262   T
          54.51         -59.26          -81.6           4.34        19582.5           44.4            249         4451.0            293   T
          39.12         -61.99          -86.9           2.56        21643.3           44.7            253         4861.0            326   T
          35.64         -58.52          -83.8           2.77        22221.5           46.7            250         4972.0             52   T+H

SIGNIFICANT WIND SPEED AND DIRECTION LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         998.80          +1.80           -8.6          46.00            0.0            5.0            200            0.0              0   S+D
         882.55          -9.46          -15.0          64.09          970.9            9.8            294          147.0            258   D
         831.39          -9.10          -32.8          12.67         1434.0           12.0            294          245.0            333   D
         803.57         -10.45          -34.9          11.50         1696.6           11.8            275          290.0            357   S
         792.51         -10.85          -36.5          10.15         1803.1           13.8            271          308.0            351   D
         745.69          -9.90          -47.5           2.94         2271.0           20.9            296          403.0            253   D
         528.76         -18.03          -21.5          73.99         4889.9           61.7            279         1040.0            258   S
         421.07         -28.64          -32.2          71.49         6557.6           69.2            271         1457.0            254   D
         361.26         -37.34          -44.9          45.52         7635.2           68.8            278         1728.0            246   S
         328.04         -42.91          -51.5          38.45         8293.3           74.2            283         1894.0            236   D
         240.40         -57.08          -66.7          28.99        10317.4          100.3            273         2391.0            238   D
         222.44         -60.38          -70.1          27.65        10805.4          102.2            278         2514.0            257   S
         207.99         -61.75          -70.6          30.41        11221.4           92.5            287         2609.0            249   D
         200.75         -61.61          -71.9          24.85        11441.1           82.0            279         2659.0            350   S
         191.29         -59.94          -72.1          19.56        11740.7           92.9            267         2720.0            259   D
         185.18         -59.18          -73.0          15.71        11943.3          100.2            270         2767.0            283   S
         151.07         -58.05          -76.5           8.11        13218.9           77.0            277         3061.0            257   D
         137.71         -57.88          -78.4           6.01        13803.6           68.2            269         3189.0            260   S
         124.61         -60.31          -79.9           6.44        14430.0           80.5            265         3335.0            253   D
         119.29         -58.86          -79.0           6.22        14702.2           83.6            274         3399.0            274   S
         113.79         -59.67          -81.0           5.03        14998.1           72.8            280         3457.0            297   D
          86.88         -60.81          -82.1           4.90        16680.5           56.3            270         3827.0            271   S
          80.63         -60.34          -81.8           4.79        17146.2           62.1            259         3929.0            265   D
          76.39         -62.36          -83.2           4.96        17480.6           67.4            265         4003.0            271   S
          63.66         -60.44          -85.1           2.86        18618.5           47.8            260         4243.0            298   S
          58.70         -61.12          -84.8           3.29        19122.5           50.2            264         4351.0            266   D
          54.16         -59.43          -82.8           3.63        19622.9           44.6            249         4459.0            305   D
          41.86         -61.63          -85.4           3.16        21224.9           47.0            263         4782.0            306   D
          35.64         -58.52          -83.8           2.77        22221.5           46.7            250         4972.0             52   S+D
