
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 110224/1800
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  1800

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    988.00   248.00     2.80    -2.30    20.00     7.00
    982.00   297.00     0.80    -4.60    32.00     9.00
    925.00   775.00    -3.60    -5.00    25.00    16.00
    898.20  1005.00    -5.60    -5.80    33.00    17.00
    894.60  1036.00    -5.50    -5.60    33.00    18.00
    886.80  1105.00     0.80    -7.10    32.00    19.00
    885.80  1114.00     0.80    -8.00    32.00    19.00
    876.10  1203.00     0.50   -13.20    26.00    16.00
    850.00  1448.00    -0.70   -19.20     5.00    14.00
    811.20  1817.00    -2.60   -31.40   305.00    10.00
    778.70  2142.00    -0.30   -47.60   295.00    20.00
    762.40  2311.00     0.60   -49.60   281.00    21.00
    700.00  2992.00    -3.80   -30.80   292.00    28.00
    667.10  3368.00    -6.60   -26.10   299.00    27.00
    645.20  3628.00    -8.50   -33.20   293.00    27.00
    637.00  3726.00    -8.60   -36.60   291.00    29.00
    620.60  3928.00    -9.30   -27.40   295.00    34.00
    529.40  5133.00   -19.00   -37.10   270.00    52.00
    516.80  5314.00   -17.50   -38.90   271.00    62.00
    500.00  5563.00   -19.10   -46.80   272.00    64.00
    484.20  5798.00   -19.80   -50.80   266.00    61.00
    466.20  6077.00   -22.60   -51.60   267.00    58.00
    428.10  6695.00   -27.60   -42.80   255.00    57.00
    405.80  7078.00   -30.50   -50.30   245.00    60.00
    400.00  7182.00   -31.60   -48.30   245.00    59.00
    391.00  7342.00   -32.00   -44.30   250.00    65.00
    374.00  7653.00   -34.30   -43.60   257.00    73.00
    308.70  8967.00   -44.80   -53.80   249.00    93.00
    300.00  9159.00   -45.80   -55.00   248.00   102.00
    287.60  9437.00   -47.30   -57.10   245.00   102.00
    250.00 10346.00   -55.60   -65.60   259.00   123.00
    249.40 10360.00   -55.60   -65.70   259.00   123.00
    226.00 10987.00   -56.90   -68.10   268.00   137.00
    200.00 11772.00   -51.70   -66.50   270.00   122.00
    191.80 12043.00   -51.00   -67.40   269.00   123.00
    171.70 12761.00   -53.50   -73.10   267.00   114.00
    150.00 13627.00   -55.70   -77.70   264.00   108.00
    119.50 15053.00   -61.10   -84.20   257.00   107.00
    100.00 16163.00   -61.50   -85.30   266.00    71.00
     87.80 16963.00   -64.80   -88.40   270.00    87.00
     81.90 17392.00   -60.20   -84.90   289.00    51.00
     70.00 18367.00   -63.30   -88.20   267.00    38.00
     65.30 18793.00   -64.20   -88.90   265.00    32.00
     61.20 19195.00   -60.00   -86.40   258.00    33.00
     54.60 19901.00   -58.10   -86.00   240.00    22.00
     50.00 20457.00   -57.40   -87.10   260.00    22.00
     39.70 21913.00   -58.90   -88.70   273.00    12.00
     37.70 22241.00   -56.50   -87.10   193.00    10.00
