
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 100224/2000
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2000

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    983.00   250.00    -2.00    -5.00   270.00     1.00
    974.70   317.00    -5.50    -7.20   332.00     4.00
    925.00   732.00    -8.20    -8.70   316.00    11.00
    925.00   726.00    -8.20    -8.60   316.00    11.00
    850.00  1382.00   -11.40   -13.00   330.00    26.00
    781.60  2018.00   -15.20   -18.00   357.00    25.00
    700.00  2844.00   -21.60   -25.20    17.00    21.00
    666.20  3204.00   -24.50   -28.10    20.00    15.00
    665.50  3211.00   -24.60   -28.20    20.00    15.00
    617.00  3761.00   -24.90   -34.20   340.00    15.00
    612.70  3812.00   -25.40   -35.00   336.00    15.00
    500.00  5260.00   -35.60   -49.00   346.00    15.00
    470.30  5680.00   -38.30   -52.70   350.00    16.00
    427.30  6333.00   -42.80   -57.20   332.00    15.00
    400.00  6781.00   -43.70   -59.30   334.00    22.00
    376.40  7184.00   -45.40   -61.50   330.00    23.00
    344.40  7778.00   -45.20   -62.80   330.00    20.00
    331.80  8024.00   -46.70   -64.30   312.00    18.00
    300.00  8703.00   -46.00   -65.10   310.00    22.00
    250.00  9908.00   -45.60   -66.70   305.00    26.00
    200.00 11404.00   -44.90   -68.10   290.00    31.00
    170.90 12450.00   -44.10   -68.90   283.00    36.00
    150.00 13326.00   -45.90   -70.30   284.00    40.00
    100.00 15997.00   -49.80   -73.60   292.00    27.00
     70.00 18300.00   -54.10   -76.30   268.00    28.00
     69.20 18369.00   -54.50   -76.50   273.00    27.00
     54.80 19882.00   -50.40   -73.30   222.00    13.00
