
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 131112/0600
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  0600

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
   1002.50   213.00     0.80    -3.10   113.00     1.00
   1001.40   222.00    -1.00    -5.90   320.00     2.00
   1000.60   228.00     0.40    -3.80   305.00     1.00
   1000.00   198.00    -0.30    -5.20   303.00     3.00
   1000.00   233.00    -0.30    -4.20   343.00     2.00
    999.00   245.00     0.00    -3.50   360.00     8.00
    998.70   243.00    -0.90    -5.60   108.00     1.00
    991.90   311.00    -2.20    -6.00    15.00     4.00
    972.80   452.00    -1.90    -6.50     4.00     9.00
    931.40   796.00    -4.70    -9.10   356.00    22.00
    925.00   855.00    -5.30    -9.40   354.00    23.00
    874.00  1292.00    -9.40   -11.20   359.00    29.00
    858.70  1429.00   -10.60   -11.60     1.00    32.00
    850.00  1509.00   -11.20   -12.10   360.00    31.00
    767.80  2278.00   -17.40   -18.30   339.00    23.00
    756.00  2394.00   -16.30   -31.70   326.00    26.00
    718.40  2780.00   -13.80   -45.30   309.00    32.00
    716.30  2803.00   -13.80   -44.80   308.00    32.00
    700.00  2986.00   -14.40   -41.90   298.00    32.00
    588.70  4276.00   -20.20   -46.70   291.00    54.00
    546.80  4823.00   -19.10   -51.10   280.00    70.00
    500.00  5486.00   -23.70   -52.00   280.00    77.00
    431.60  6541.00   -31.70   -57.40   270.00    90.00
    411.40  6879.00   -32.90   -56.30   265.00   104.00
    405.60  6979.00   -33.70   -53.20   265.00   102.00
    400.00  7078.00   -34.40   -43.50   264.00   103.00
    391.10  7232.00   -35.60   -39.40   262.00   104.00
    368.80  7638.00   -38.50   -40.90   263.00   111.00
    344.60  8103.00   -40.60   -47.50   270.00   119.00
    316.20  8685.00   -43.00   -51.80   268.00   122.00
    302.40  8983.00   -45.20   -55.20   270.00   123.00
    300.00  9041.00   -45.70   -55.60   271.00   122.00
    250.00 10231.00   -53.50   -63.40   268.00   125.00
    228.70 10797.00   -57.40   -67.00   266.00   119.00
    200.00 11650.00   -54.00   -68.40   278.00    97.00
    178.50 12384.00   -50.60   -71.60   268.00    74.00
    172.90 12593.00   -51.60   -73.70   270.00    76.00
    150.00 13512.00   -56.10   -79.10   275.00    79.00
    135.20 14160.00   -59.00   -81.30   285.00    73.00
    100.00 16063.00   -56.60   -81.10   284.00    54.00
     81.20 17373.00   -57.80   -82.40   294.00    49.00
