
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 150201/0400
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  0400

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    992.00   213.00     1.00     0.40   220.00     4.00
    989.80   320.00    -0.10   -50.00   217.00    10.00
    946.00   680.00    -1.60   -51.00   253.00    14.00
    925.00   859.00    -2.00   -51.20   269.00    10.00
    850.00  1528.00    -3.20   -52.00   244.00    19.00
    826.00  1750.00    -3.90   -52.40   253.00    14.00
    700.00  3039.00   -10.20   -56.40   250.00    13.00
    617.10  3999.00   -14.70   -59.30   237.00    24.00
    529.70  5140.00   -18.00   -61.40   267.00    46.00
    500.00  5571.00   -20.20   -62.80   273.00    55.00
    405.90  7073.00   -27.20   -67.30   266.00    75.00
    400.00  7184.00   -27.90   -67.80   266.00    71.00
    303.20  9094.00   -42.70   -77.60   266.00    89.00
    300.00  9161.00   -43.40   -78.10   266.00    90.00
    250.00 10358.00   -53.60   -85.00   266.00   102.00
    206.60 11534.00   -63.60   -91.90   269.00   118.00
    200.00 11736.00   -61.50   -90.50   275.00   110.00
    198.90 11771.00   -61.30   -90.30   275.00   107.00
    194.10 11923.00   -55.90   -86.60   281.00   101.00
    162.30 13044.00   -53.60   -85.00   277.00    79.00
    150.00 13544.00   -53.70   -85.10   284.00    79.00
    133.90 14257.00   -54.00   -85.30   281.00    65.00
    100.00 16071.00   -60.50   -89.80   295.00    51.00
     93.30 16492.00   -60.80   -90.00   298.00    37.00
