
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 130226/2200
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2200

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    968.00   214.00     0.50    -0.10    50.00     6.00
    925.00   642.00    -1.70    -1.90    81.00    24.00
    892.00   927.00    -3.10    -3.20    98.00    32.00
    850.00  1306.00    -1.20    -1.40   150.00    27.00
    849.90  1306.00    -1.20    -1.40   150.00    27.00
    782.80  1963.00    -1.40    -1.50   193.00     5.00
    700.00  2850.00    -4.30    -4.90   136.00    17.00
    688.40  2980.00    -4.80    -5.20   138.00    19.00
    604.10  3984.00   -11.30   -12.20   137.00    17.00
    598.10  4057.00   -12.20   -13.10   139.00    17.00
    564.10  4501.00   -15.90   -18.10   152.00    23.00
    554.30  4633.00   -17.80   -23.80   155.00    26.00
    522.80  5072.00   -21.30   -30.00   157.00    24.00
    521.60  5091.00   -21.30   -30.90   156.00    23.00
    516.30  5166.00   -21.60   -29.20   151.00    23.00
    500.00  5410.00   -23.40   -33.70   148.00    26.00
    498.90  5425.00   -23.50   -34.90   148.00    27.00
    494.30  5494.00   -23.90   -31.90   146.00    28.00
    444.20  6255.00   -28.70   -42.20   128.00    38.00
    400.40  6992.00   -32.70   -37.10   112.00    50.00
    400.00  7002.00   -32.80   -37.20   112.00    50.00
    389.90  7179.00   -34.30   -38.40   108.00    49.00
    326.10  8390.00   -44.80   -49.00   100.00    61.00
    324.00  8435.00   -45.10   -49.20   100.00    61.00
    308.40  8762.00   -46.50   -55.70   104.00    57.00
    300.10  8941.00   -47.30   -57.50   104.00    60.00
    300.00  8946.00   -47.30   -57.50   104.00    60.00
    264.90  9759.00   -48.80   -61.40   104.00    42.00
    250.00 10138.00   -49.70   -62.20   118.00    39.00
    245.00 10264.00   -50.60   -63.10   124.00    36.00
    200.00 11590.00   -49.70   -63.70   179.00    24.00
    195.60 11728.00   -48.00   -62.20   203.00    20.00
    150.00 13447.00   -52.30   -66.60   216.00    29.00
    100.00 16020.00   -56.30   -69.70   229.00    13.00
     72.30 18013.00   -61.70   -75.10   229.00    22.00
     70.00 18215.00   -61.40   -74.70   225.00    21.00
     65.10 18661.00   -59.80   -73.20   262.00    24.00
     59.40 19223.00   -63.90   -76.40   262.00    17.00
     50.00 20259.00   -63.10   -75.30   289.00    27.00
     37.80 21964.00   -59.60   -72.50   242.00    45.00
