
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 140217/2000
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2000

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    980.00   245.00    -5.50    -9.00   135.00    16.00
    966.50   243.00    -5.80    -7.40   114.00     5.00
    933.10   517.00    -8.60   -10.80   126.00    35.00
    925.00   580.00    -8.60    -9.90   134.00    40.00
    921.80   602.00    -8.70    -9.90   138.00    41.00
    911.50   697.00    -4.00    -4.10   157.00    41.00
    905.10   747.00    -2.00    -2.20   162.00    38.00
    855.10  1195.00    -3.10    -3.60   163.00    48.00
    850.00  1242.00    -0.30    -1.00   162.00    50.00
    848.90  1251.00     0.10    -0.40   161.00    51.00
    842.80  1307.00    -3.50    -4.20   161.00    54.00
    835.20  1378.00    -1.20    -1.40   165.00    52.00
    800.10  1720.00     0.10    -0.00   192.00    46.00
    700.00  2782.00    -3.90    -4.50   219.00    48.00
    693.50  2853.00    -4.10    -4.60   224.00    49.00
    598.10  4005.00    -8.90   -10.30   214.00    45.00
    500.00  5360.00   -17.90   -20.20   220.00    51.00
    455.00  6054.00   -22.90   -25.20   216.00    54.00
    400.00  6988.00   -30.50   -32.80   218.00    55.00
    390.10  7157.00   -31.90   -34.30   217.00    55.00
    348.40  7939.00   -39.10   -41.70   221.00    63.00
    331.90  8261.00   -42.60   -45.90   217.00    65.00
    300.00  8935.00   -48.10   -51.70   215.00    52.00
    250.00 10098.00   -56.80   -61.20   221.00    72.00
    247.50 10155.00   -57.10   -61.60   223.00    71.00
    200.00 11495.00   -60.00   -66.00   260.00    58.00
    198.90 11525.00   -60.20   -66.20   259.00    57.00
    172.60 12411.00   -50.70   -58.80   265.00    74.00
    169.50 12523.00   -51.20   -59.40   267.00    68.00
    150.00 13308.00   -52.80   -61.70   269.00    50.00
    125.40 14436.00   -57.00   -66.00   251.00    52.00
    100.00 15839.00   -55.70   -64.90   273.00    39.00
     74.30 17675.00   -59.20   -69.00   295.00    32.00
     70.00 18043.00   -57.90   -67.90   300.00    31.00
     66.80 18331.00   -55.60   -66.20   281.00    31.00
     59.30 19051.00   -59.00   -68.50   269.00    37.00
     57.60 19206.00   -56.20   -66.00   275.00    39.00
     51.20 19938.00   -59.80   -68.70   291.00    37.00
