
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 120120/2100
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2100

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    987.00   245.00    -8.60    -8.60    80.00    11.00
    981.40   288.00    -9.90   -11.40    75.00    12.00
    978.50   311.00   -10.20   -11.70    74.00    12.00
    929.20   707.00   -13.00   -13.70   114.00    15.00
    925.00   748.00   -12.80   -13.40   125.00    16.00
    913.80   835.00   -11.60   -11.80   135.00    16.00
    902.40   931.00   -11.20   -11.40   147.00    11.00
    880.50  1121.00    -6.60    -6.80   207.00    13.00
    850.00  1398.00    -6.50    -6.60   232.00    17.00
    802.50  1847.00    -5.70    -5.80   247.00    23.00
    780.80  2063.00    -3.40    -3.60   231.00    41.00
    715.30  2753.00    -5.50    -5.60   257.00    42.00
    700.00  2924.00    -6.50    -6.60   254.00    43.00
    624.40  3809.00   -10.80   -10.90   257.00    53.00
    516.10  5249.00   -19.80   -20.70   263.00    53.00
    500.00  5486.00   -19.80   -20.60   257.00    64.00
    475.30  5858.00   -20.70   -21.50   261.00    74.00
    473.10  5893.00   -20.90   -21.80   261.00    73.00
    400.00  7111.00   -30.20   -32.10   257.00    76.00
    318.40  8694.00   -41.90   -45.10   268.00   102.00
    300.00  9096.00   -44.30   -47.60   266.00   108.00
    250.00 10291.00   -54.50   -58.90   271.00   118.00
    200.00 11684.00   -64.30   -69.60   272.00   128.00
    186.50 12108.00   -66.70   -72.40   278.00   131.00
    177.00 12425.00   -63.70   -69.30   276.00   109.00
    174.70 12507.00   -60.30   -66.00   274.00   104.00
    156.50 13198.00   -56.50   -62.30   274.00    99.00
    150.00 13465.00   -57.70   -63.40   280.00    86.00
    119.50 14897.00   -58.90   -65.00   270.00    82.00
    100.00 16033.00   -56.10   -62.70   262.00    60.00
     79.80 17438.00   -60.10   -66.80   273.00    48.00
     77.50 17622.00   -57.20   -63.90   265.00    39.00
     72.50 18045.00   -58.70   -65.00   261.00    50.00
     70.00 18272.00   -54.90   -61.70   257.00    45.00
     70.00 18268.00   -54.90   -61.60   257.00    46.00
     59.70 19277.00   -57.00   -63.60   253.00    15.00
     57.80 19485.00   -54.70   -61.40   259.00    18.00
     50.00 20409.00   -58.00   -64.60   268.00    24.00
     48.00 20667.00   -59.00   -65.70   263.00    15.00
