
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 110118/2100
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2100

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    980.00   251.00     3.00     0.90   360.00     7.00
    969.10   342.00    -1.10    -1.60   356.00    11.00
    961.90   401.00    -1.80    -2.10   357.00    13.00
    957.10   441.00    -2.00    -2.10     1.00    13.00
    925.00   716.00    -3.90    -4.00     5.00    20.00
    878.00  1121.00    -6.20    -6.40   349.00    19.00
    850.00  1375.00    -7.00    -7.20   326.00    16.00
    820.50  1650.00    -8.10    -8.20   309.00    19.00
    811.70  1732.00    -4.00    -4.10   307.00    20.00
    804.70  1800.00    -3.90    -4.00   303.00    19.00
    767.10  2177.00    -5.30    -5.40   279.00    14.00
    740.80  2450.00    -7.90   -11.10   287.00    10.00
    721.00  2660.00    -8.30   -12.50   298.00    12.00
    700.00  2893.00    -9.00   -12.80   304.00    11.00
    668.90  3240.00    -9.80   -11.90   302.00    17.00
    590.80  4187.00   -16.00   -18.00   268.00     8.00
    521.10  5121.00   -22.60   -25.80   269.00    21.00
    500.00  5425.00   -24.90   -28.20   277.00    18.00
    458.80  6041.00   -29.60   -35.50   261.00    20.00
    400.00  7004.00   -37.80   -43.40   259.00    25.00
    368.90  7555.00   -42.70   -49.20   254.00    29.00
    342.60  8054.00   -10.30   -19.60   253.00    31.00
    340.60  8101.00    -9.60   -18.90   253.00    31.00
    332.80  8278.00   -10.60   -19.90   251.00    30.00
    331.20  8316.00    -9.10   -18.70   251.00    30.00
    326.30  8431.00    -9.10   -18.70   250.00    29.00
    319.10  8604.00   -12.30   -21.80   257.00    24.00
    313.70  8734.00    -9.90   -19.70   256.00    22.00
    300.00  9081.00   -10.50   -20.70   260.00    21.00
    292.90  9264.00   -11.50   -21.90   255.00    20.00
    285.20  9467.00    -6.70   -17.80   262.00    26.00
    250.00 10498.00    -7.30   -19.60   254.00    29.00
    248.00 10559.00    -7.30   -20.00   256.00    31.00
    200.00 12238.00    -7.00   -20.90   261.00    44.00
    150.00 14481.00    -6.70   -21.30   253.00    48.00
    100.00 17643.00    -6.20   -20.70   250.00    48.00
     83.50 19051.00    -6.00   -20.90   251.00    40.00
