
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 111209/0700
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  0700

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    991.00   245.00     0.00    -1.30   230.00     7.00
    986.30   279.00    -1.90    -3.30   270.00     7.00
    939.00   668.00    -4.90    -5.10   287.00    12.00
    925.00   786.00    -5.00    -5.50   294.00    12.00
    850.00  1453.00    -7.90    -8.00   251.00    13.00
    771.40  2198.00   -11.20   -11.30   231.00    18.00
    727.70  2646.00   -11.30   -11.40   242.00    38.00
    700.00  2943.00   -12.90   -13.10   249.00    37.00
    504.10  5375.00   -26.70   -27.70   245.00    66.00
    500.00  5436.00   -27.10   -28.10   246.00    68.00
    495.30  5503.00   -27.30   -28.40   245.00    69.00
    434.70  6430.00   -33.60   -35.20   239.00    78.00
    417.10  6719.00   -34.20   -35.90   238.00    88.00
    400.00  7014.00   -36.60   -38.50   241.00    91.00
    384.90  7276.00   -38.80   -41.00   243.00    93.00
    353.40  7859.00   -40.60   -43.10   243.00   105.00
    300.00  8959.00   -48.80   -52.20   240.00   112.00
    250.00 10141.00   -56.50   -60.70   245.00   111.00
    234.00 10551.00   -59.30   -63.80   244.00   110.00
    200.00 11542.00   -58.40   -63.40   247.00   100.00
    165.20 12751.00   -54.90   -60.10   251.00    84.00
    150.00 13375.00   -56.50   -62.00   247.00    85.00
    100.00 15931.00   -58.70   -66.10   258.00    67.00
     73.30 17856.00   -64.40   -72.60   258.00    57.00
     70.00 18141.00   -63.40   -72.00   260.00    69.00
     68.90 18232.00   -62.90   -71.50   258.00    64.00
