
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 101204/2100
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2100

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    986.00   248.00     1.50    -0.90   360.00     5.00
    974.20   490.00    -0.20    -4.90    12.00     7.00
    966.40   507.00    -1.30    -5.80    13.00     7.00
    944.50   594.00    -2.30    -5.60    18.00     8.00
    925.00   763.00    -3.80    -5.60    18.00    12.00
    909.80   890.00    -4.90    -6.00    16.00    14.00
    850.00  1423.00    -8.40    -8.90    14.00    26.00
    839.30  1519.00    -9.40    -9.80    12.00    28.00
    825.20  1650.00   -10.10   -10.40     7.00    30.00
    777.10  2112.00   -12.00   -15.00     7.00    26.00
    743.60  2448.00   -12.60   -15.90    31.00    16.00
    736.50  2522.00   -12.00   -14.50    36.00    13.00
    700.00  2914.00   -13.90   -16.60   358.00    15.00
    613.80  3899.00   -18.00   -20.80   305.00    22.00
    526.40  5029.00   -25.40   -27.50   331.00    24.00
    500.00  5407.00   -28.30   -31.70   343.00    24.00
    454.90  6071.00   -33.80   -39.90   319.00    15.00
    416.90  6680.00   -36.30   -48.00   304.00    30.00
    400.00  6969.00   -37.90   -50.40   301.00    28.00
    365.90  7576.00   -40.90   -54.80   302.00    44.00
    307.80  8749.00   -41.70   -57.90   306.00    76.00
    300.00  8931.00   -42.60   -58.90   303.00    77.00
    250.00 10152.00   -45.30   -62.40   303.00    87.00
    200.00 11633.00   -46.40   -64.50   297.00    80.00
    150.00 13522.00   -52.10   -70.70   302.00    59.00
    100.00 16131.00   -55.70   -75.00   310.00    43.00
     72.90 18116.00   -59.90   -78.20   307.00    35.00
