
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 110426/2100
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2100

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    967.00   224.00    18.20    13.20   180.00    10.00
    959.70   292.00    17.40    15.10   203.00    13.00
    925.00   612.00    14.70    13.00   197.00    25.00
    872.10  1101.00    11.00    10.90   194.00    40.00
    850.00  1322.00     9.60     9.50   193.00    39.00
    807.90  1737.00     7.40     7.30   196.00    41.00
    709.40  2799.00     1.90     1.70   209.00    54.00
    700.00  2917.00     1.20     1.10   210.00    55.00
    660.10  3378.00    -1.30    -1.40   211.00    58.00
    563.60  4623.00    -8.40    -9.00   220.00    61.00
    552.80  4774.00   -11.00   -13.40   223.00    64.00
    545.10  4881.00    -9.50   -15.10   224.00    65.00
    542.60  4916.00    -8.70   -14.00   225.00    66.00
    517.40  5281.00   -20.00   -27.10   229.00    73.00
    514.70  5321.00   -20.20   -28.10   230.00    73.00
    500.00  5534.00   -21.20   -30.30   230.00    77.00
    495.60  5599.00   -20.50   -29.70   228.00    76.00
    492.20  5651.00   -21.70   -31.50   226.00    77.00
    405.90  7041.00   -31.20   -41.90   225.00    70.00
    400.00  7145.00   -31.60   -40.40   218.00    67.00
    397.00  7199.00   -32.00   -39.50   219.00    65.00
    387.40  7371.00   -33.50   -38.70   220.00    70.00
    341.30  8248.00   -39.10   -42.70   213.00    72.00
    316.40  8762.00   -42.80   -46.50   212.00    75.00
    300.00  9120.00   -43.70   -47.50   207.00    83.00
    282.60  9524.00   -42.00   -46.00   203.00    74.00
    250.00 10350.00   -47.10   -51.80   211.00    78.00
    241.00 10587.00   -49.20   -54.00   211.00    77.00
    201.20 11770.00   -50.20   -55.50   221.00    65.00
