
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 120221/1300
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  1300

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    974.00   245.00     0.90     0.90   170.00     7.00
    925.00   657.00    -0.60    -0.80   204.00    30.00
    850.00  1330.00    -2.80    -2.90   233.00    33.00
    781.80  1989.00    -5.20    -5.30   267.00    34.00
    700.00  2852.00   -10.30   -10.40   237.00    22.00
    631.70  3634.00   -14.70   -14.80   221.00    32.00
    580.90  4263.00   -19.50   -19.90   207.00    30.00
    566.40  4450.00   -21.10   -21.30   211.00    29.00
    555.10  4599.00   -23.40   -24.90   210.00    28.00
    551.30  4649.00   -22.80   -25.10   209.00    28.00
    543.10  4758.00   -22.90   -25.20   211.00    28.00
    500.00  5362.00   -27.40   -31.00   231.00    26.00
    459.90  5954.00   -32.20   -36.50   214.00    32.00
    429.00  6442.00   -36.20   -41.80   198.00    31.00
    400.00  6926.00   -40.50   -46.50   203.00    31.00
    338.30  8043.00   -49.00   -55.30   178.00    34.00
    300.00  8834.00   -49.60   -57.30   246.00    32.00
    256.40  9860.00   -50.90   -60.20   245.00    45.00
