
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 131117/1900
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  1900

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    966.00   245.00    18.40    16.00   190.00    20.00
    925.00   616.00    15.20    14.80   186.00    47.00
    850.00  1329.00    11.70    11.60   206.00    62.00
    785.00  1989.00     8.00     7.90   213.00    56.00
    762.80  2224.00     4.30     1.40   214.00    52.00
    725.10  2635.00     1.40    -3.40   214.00    54.00
    700.00  2920.00     0.10    -3.10   214.00    55.00
    663.60  3344.00    -3.40    -7.00   219.00    57.00
    661.40  3371.00    -2.10    -5.60   219.00    57.00
    649.90  3510.00    -4.80    -7.70   221.00    56.00
    646.80  3549.00    -3.30    -6.10   222.00    56.00
    642.40  3603.00    -5.30    -7.60   221.00    57.00
    607.90  4035.00    -6.70    -8.10   224.00    64.00
    591.00  4255.00    -8.30    -9.50   224.00    67.00
    552.70  4771.00   -12.60   -14.70   223.00    77.00
    522.20  5204.00   -14.50   -17.80   213.00    87.00
    500.00  5536.00   -16.50   -19.40   214.00    85.00
    449.60  6322.00   -20.70   -23.30   220.00    92.00
    400.00  7184.00   -26.60   -29.40   237.00    82.00
    343.50  8259.00   -34.10   -37.10   234.00    79.00
    309.70  8977.00   -39.60   -43.10   240.00    97.00
    300.00  9200.00   -40.60   -43.90   242.00   101.00
    250.00 10415.00   -48.50   -52.70   237.00   107.00
    241.40 10643.00   -50.00   -54.40   238.00   109.00
    240.70 10663.00   -50.00   -54.40   238.00   110.00
    233.30 10867.00   -47.50   -53.90   244.00   116.00
    203.50 11761.00   -49.50   -59.40   252.00   100.00
    200.00 11882.00   -50.00   -60.40   250.00    94.00
    195.40 12029.00   -50.70   -61.40   249.00    88.00
    150.00 13718.00   -59.60   -69.20   246.00    78.00
    143.20 14009.00   -61.30   -70.30   255.00    83.00
    137.40 14270.00   -56.20   -66.30   256.00    76.00
    127.10 14762.00   -58.00   -68.00   260.00    59.00
