
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 000100/0100
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  0100

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    976.00   213.00     2.00     0.50    90.00     5.00
    950.40   508.00    -1.70    -1.80    92.00    35.00
    937.20   580.00    -2.00    -2.20    94.00    36.00
    925.00   646.00    -0.70    -0.80    96.00    43.00
    918.70   703.00     1.60     1.50    99.00    43.00
    856.40  1263.00    -0.80    -1.80   115.00    38.00
    850.00  1327.00     0.90     0.70   119.00    28.00
    845.00  1372.00     1.50     1.30   125.00    23.00
    821.40  1600.00     2.10     1.90   124.00    15.00
    715.40  2705.00    -3.50    -3.70   150.00    20.00
    700.00  2877.00    -4.10    -4.30   164.00    19.00
    636.70  3624.00    -5.60    -5.70   202.00    22.00
    500.00  5481.00   -17.00   -17.10   208.00    30.00
    496.00  5537.00   -17.20   -17.30   208.00    34.00
    494.60  5560.00   -17.40   -17.50   209.00    36.00
    436.90  6480.00   -23.20   -23.80   225.00    48.00
    400.00  7118.00   -28.60   -29.60   230.00    51.00
    307.00  8953.00   -44.60   -47.20   242.00    82.00
    300.00  9108.00   -46.00   -48.70   241.00    83.00
    250.00 10296.00   -55.20   -59.20   234.00    97.00
    212.70 11303.00   -63.70   -68.50   229.00   104.00
    211.20 11347.00   -63.70   -68.50   228.00   103.00
    200.00 11682.00   -65.30   -70.30   232.00    99.00
    194.60 11848.00   -66.00   -71.10   235.00   101.00
    157.50 13138.00   -62.40   -67.90   254.00   100.00
    150.00 13440.00   -64.50   -69.90   251.00   100.00
    143.90 13690.00   -65.30   -70.80   251.00    98.00
    123.80 14612.00   -64.30   -70.00   260.00    97.00
    115.50 15031.00   -67.40   -73.10   260.00   101.00
    100.00 15906.00   -65.80   -71.80   258.00    86.00
