
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 101205/0500
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  0500

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    990.00   248.00     2.20    -3.40   250.00     2.00
    979.70   498.00     0.70    -0.90   346.00    12.00
    967.80   534.00    -1.10    -2.40   345.00    14.00
    938.50   677.00    -2.40    -2.70   337.00    17.00
    936.90   690.00    -2.40    -2.50   337.00    18.00
    925.00   794.00    -3.30    -3.40   341.00    23.00
    850.00  1456.00    -7.70    -7.80   348.00    26.00
    746.20  2456.00   -15.00   -15.10   343.00    27.00
    737.60  2544.00   -15.60   -16.10   347.00    23.00
    722.00  2705.00   -16.10   -19.80   345.00    21.00
    701.20  2926.00   -16.10   -18.40   343.00    21.00
    700.00  2945.00   -16.10   -18.30   342.00    20.00
    682.10  3133.00   -17.10   -18.50   334.00    18.00
    610.30  3958.00   -22.70   -23.80   333.00    21.00
    589.60  4211.00   -23.90   -24.80   335.00    27.00
    528.00  5011.00   -27.60   -29.20   322.00    24.00
    500.00  5407.00   -30.70   -32.40   316.00    26.00
    487.30  5582.00   -32.30   -33.90   311.00    29.00
    427.80  6487.00   -39.40   -44.40   308.00    38.00
    420.60  6604.00   -39.20   -44.60   307.00    43.00
    400.00  6948.00   -40.70   -46.90   311.00    47.00
    348.20  7887.00   -41.70   -49.10   306.00    76.00
    300.00  8898.00   -43.30   -51.30   309.00    90.00
    250.00 10117.00   -46.30   -55.10   307.00    90.00
    248.80 10146.00   -46.40   -55.20   307.00    90.00
    200.00 11609.00   -44.20   -53.70   304.00    73.00
    195.90 11742.00   -44.30   -53.80   304.00    69.00
    161.60 13012.00   -50.40   -60.10   298.00    65.00
    150.00 13507.00   -51.10   -60.70   306.00    59.00
    127.40 14556.00   -51.90   -61.10   307.00    44.00
    100.00 16108.00   -57.80   -66.40   295.00    47.00
     70.00 18356.00   -60.10   -68.30   305.00    31.00
     56.50 19689.00   -61.20   -69.20   310.00    17.00
