
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 120302/2200
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2200

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    980.70    53.00     5.00     4.80   188.00  2388.00
    958.00   245.00     8.20     7.90   250.00     3.00
    925.00   845.00     6.20     6.10   205.00    31.00
    918.80   932.00     6.20     6.10   204.00    35.00
    850.00  1233.00     5.40     5.20   209.00    40.00
    821.90  1497.00     4.20     4.00   224.00    43.00
    749.10  2245.00    -0.80    -0.90   239.00    46.00
    742.40  2316.00    -2.10    -2.20   239.00    47.00
    700.00  2788.00    -5.40    -7.60   232.00    50.00
    667.50  3153.00    -7.90   -10.60   234.00    52.00
    663.00  3205.00    -8.20   -10.90   233.00    52.00
    608.30  3870.00   -10.90   -22.00   235.00    56.00
    603.80  3927.00   -11.40   -23.10   236.00    55.00
    530.90  4900.00   -18.50   -35.70   238.00    59.00
    500.00  5350.00   -21.60   -37.50   242.00    50.00
    495.30  5415.00   -21.50   -36.00   244.00    49.00
    448.20  6142.00   -27.60   -39.30   238.00    62.00
    441.50  6250.00   -27.90   -39.40   239.00    66.00
    432.10  6405.00   -28.30   -40.70   237.00    69.00
    421.80  6578.00   -30.80   -43.50   238.00    74.00
    416.10  6673.00   -30.30   -43.00   237.00    81.00
    408.00  6812.00   -31.70   -44.50   237.00    98.00
    406.00  6848.00   -29.50   -43.20   238.00   103.00
    400.00  6953.00   -31.00   -48.30   242.00   104.00
    385.70  7212.00   -31.90   -52.00   240.00   118.00
    381.90  7281.00   -33.00   -53.20   241.00   118.00
    342.10  8045.00   -39.80   -59.00   240.00   116.00
    325.00  8393.00   -41.00   -60.50   232.00   112.00
    300.00  8931.00   -45.20   -63.50   227.00   116.00
    274.00  9533.00   -48.80   -67.10   236.00   117.00
    250.00 10137.00   -50.70   -69.20   239.00   116.00
    200.00 11571.00   -54.90   -74.40   243.00    85.00
    181.50 12189.00   -56.70   -76.60   232.00    92.00
    159.30 13019.00   -55.20   -76.00   247.00    94.00
    150.00 13408.00   -56.40   -77.40   245.00    81.00
    120.30 14798.00   -58.70   -80.10   248.00    78.00
    112.70 15211.00   -55.50   -77.80   254.00    87.00
    100.00 15974.00   -58.00   -80.10   269.00    73.00
     80.70 17306.00   -62.10   -83.40   239.00    54.00
     74.80 17782.00   -59.70   -81.60   258.00    71.00
     70.80 18127.00   -54.90   -77.80   276.00    60.00
     70.00 18201.00   -55.20   -78.40   280.00    57.00
     52.40 20040.00   -58.60   -81.90   266.00    30.00
