
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 100209/1800
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  1800

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    979.00   247.00    -1.50    -2.50    90.00     9.00
    974.50   284.00    -3.00    -7.00    41.00    11.00
    970.60   316.00    -5.10    -8.70    40.00    11.00
    946.50   513.00    -6.90    -8.40    52.00    17.00
    925.00   692.00    -8.20    -9.60    66.00    18.00
    867.80  1184.00   -11.30   -12.80   350.00     2.00
    850.00  1347.00   -11.70   -13.20    13.00     7.00
    827.70  1547.00   -10.40   -11.20   350.00     4.00
    825.00  1573.00   -10.30   -11.20   336.00     5.00
    700.00  2827.00   -14.60   -16.90   101.00     4.00
    630.60  3616.00   -16.30   -18.80   196.00    13.00
    527.80  4928.00   -26.50   -29.80   193.00    17.00
    500.00  5320.00   -29.60   -36.70   197.00    18.00
    485.40  5527.00   -31.00   -40.10   188.00    22.00
    476.90  5653.00   -31.90   -41.40   190.00    25.00
    405.90  6776.00   -37.30   -51.60   203.00    30.00
    400.00  6878.00   -38.10   -52.60   209.00    30.00
    380.20  7225.00   -41.00   -56.00   209.00    28.00
    347.10  7839.00   -45.20   -60.30   212.00    32.00
    316.00  8464.00   -46.50   -61.60   231.00    36.00
    300.00  8806.00   -49.20   -63.90   219.00    34.00
    287.50  9085.00   -50.80   -65.40   229.00    34.00
    269.80  9497.00   -51.80   -66.60   227.00    39.00
    250.00  9995.00   -49.20   -64.20   245.00    57.00
    220.00 10845.00   -44.40   -59.80   255.00    48.00
    200.00 11486.00   -45.60   -60.50   252.00    41.00
    150.00 13391.00   -47.40   -62.60   263.00    64.00
    100.00 16035.00   -51.90   -67.40   265.00    52.00
     79.60 17484.00   -57.80   -72.70   276.00    50.00
     70.50 18257.00   -54.70   -70.70   284.00    43.00
     70.00 18308.00   -55.20   -71.00   284.00    43.00
     58.60 19434.00   -58.00   -73.20   286.00    21.00
     56.10 19711.00   -55.00   -71.10   292.00    30.00
     50.00 20445.00   -57.30   -72.60   290.00    28.00
     43.30 21339.00   -58.70   -74.00   265.00    27.00
