          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
           ////           ////           ////           ////           ////           ////           ////           ////           ////
         925.00         +22.80          +15.3          62.78          562.5            1.9            265          134.9            257
         850.00         +16.25          +12.5          78.63         1291.3            3.7            309          314.1            216
         700.00          +8.83           +6.2          83.62         2913.9            6.7            226          814.8            198
         500.00          -3.03          -18.1          30.27         5627.3           23.3            256         1642.1            208
         400.00         -14.27          -21.4          54.70         7343.2           26.8            251         2162.9            201
         300.00         -30.22          -35.1          62.28         9429.9           36.6            251         2751.2            202
         250.00         -40.81          -47.9          46.44        10679.3           34.0            252         3106.9            246
         200.00         -52.39          -62.8          27.91        12133.4           39.3            252         3474.4            215
         150.00         -62.52          -75.1          17.71        13907.6           36.9            270         3965.5            220
         100.00         -65.99          -81.3          10.89        16323.5           17.0            243         4603.0            243
          70.00         -62.20          -80.0           8.13        18414.8            6.0            349         5110.9            222
          50.00         -57.64          -76.7           7.59        20419.6           11.7            112         5581.3            263
          30.00         -52.23          -72.2           7.58        23481.3           18.9            100         6284.1            253
           ////           ////           ////           ////           ////           ////           ////           ////           ////
           ////           ////           ////           ////           ////           ////           ////           ////           ////
