
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 100222/1500
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  1500

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    976.00   247.00     0.00    -3.00   360.00     5.00
    955.30   418.00    -1.50    -2.60    27.00    16.00
    945.30   502.00    -0.60    -1.30    28.00    15.00
    925.00   677.00    -0.80    -2.00     6.00    10.00
    891.90   967.00    -0.20    -1.00   346.00    16.00
    861.50  1244.00    -2.00    -3.90   351.00    17.00
    850.00  1350.00    -0.60    -4.10   353.00    17.00
    841.10  1436.00    -0.80    -4.90   345.00    17.00
    830.90  1533.00    -1.60    -5.90   340.00    19.00
    700.00  2886.00    -8.60   -11.30   317.00    14.00
    650.50  3446.00   -12.00   -14.30   313.00    17.00
    547.10  4752.00   -19.10   -25.70   326.00    25.00
    502.60  5377.00   -24.90   -34.40   310.00    29.00
    500.00  5415.00   -25.40   -34.90   310.00    28.00
    431.60  6459.00   -34.00   -39.80   304.00    31.00
    400.00  6992.00   -38.40   -45.10   294.00    35.00
    300.00  8901.00   -54.60   -62.40   277.00    25.00
    289.90  9112.00   -56.30   -64.10   271.00    25.00
    261.70  9766.00   -53.00   -61.70   256.00    35.00
    250.00 10068.00   -54.50   -63.60   265.00    34.00
    242.50 10255.00   -56.00   -65.50   273.00    38.00
    212.60 11097.00   -52.10   -63.30   257.00    43.00
    200.90 11463.00   -51.20   -62.70   265.00    45.00
    200.00 11492.00   -51.30   -62.80   266.00    43.00
    152.70 13243.00   -50.20   -63.10   256.00    45.00
    150.00 13363.00   -50.50   -63.40   256.00    48.00
    125.50 14511.00   -55.00   -67.90   261.00    51.00
    100.00 15971.00   -54.10   -67.40   272.00    32.00
     74.40 17855.00   -54.40   -68.30   253.00    33.00
