SIGNIFICANT TEMPERATURE AND HUMIDITY LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         977.30          +0.80           +0.1          95.00            0.0            9.0            320            0.0              0   T+H
         729.98         -12.93          -13.6          94.39         2287.7           13.7            309          589.0            221   T
         694.89          -9.51          -10.1          95.78         2665.9           18.0            304          691.0            233   T
         594.05         -15.41          -16.1          94.39         3864.0           18.3            283          982.0            230   T
         510.63         -23.77          -24.8          91.09         4988.6           18.3            264         1267.0            257   T
         501.01         -23.28          -24.7          87.81         5127.5           16.8            266         1304.0            248   T
         462.62         -27.10          -29.1          82.77         5706.1           17.3            285         1438.0            255   T
         298.99         -51.36          -54.1          72.21         8691.9           23.8            267         2102.0            286   T
         246.07         -49.02          -54.2          55.28         9963.4           48.2            259         2360.0            312   T
         201.99         -51.68          -57.3          51.09        11251.2           58.8            249         2607.0            353   T
         153.33         -51.28          -57.5          47.99        13038.9           58.4            257         2982.0            286   T
         130.94         -54.55          -61.3          43.44        14057.4           51.8            257         3189.0            290   T
         118.25         -54.52          -61.6          41.91        14710.2           47.9            250         3320.0            288   T
         111.53         -52.35          -59.3          43.41        15087.3           41.5            269         3398.0            298   T
         105.83         -54.40          -61.4          42.50        15424.7           28.3            264         3467.0            287   T
          86.03         -53.15          -60.5          40.89        16753.6            9.5            232         3725.0            303   T
          76.31         -55.97          -64.9          32.54        17519.3           20.4            235         3873.0            -42   T+H

SIGNIFICANT WIND SPEED AND DIRECTION LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         977.30          +0.80           +0.1          95.00            0.0            9.0            320            0.0              0   S+D
         966.31          +0.15           +0.2         100.00           90.8            9.8            347           35.0            208   D
         941.95          -0.09           -0.2          99.33          295.5           16.7            356           89.0            223   D
         879.89          -3.70           -3.9          98.46          837.6           25.2            344          219.0            237   S
         776.06          -9.94          -10.4          96.49         1818.2           19.8            350          467.0            241   D
         740.27         -12.30          -12.9          95.04         2180.8           15.4            330          561.0            230   D
         714.79         -11.44          -11.8          97.32         2448.5           17.0            283          632.0            223   D
         692.48          -9.60          -10.2          95.11         2692.7           18.0            306          698.0            238   D
         659.57         -11.74          -12.5          94.32         3067.4           14.6            316          791.0            249   D
         627.69         -13.18          -14.0          93.84         3446.2            9.9            284          880.0            248   S
         621.64         -13.54          -14.2          94.43         3519.9            9.8            282          898.0            256   D
         563.32         -18.21          -19.3          90.99         4263.0           16.7            292         1083.0            242   D
         485.47         -24.95          -26.6          86.02         5357.4           12.5            261         1357.0            261   D
         450.94         -28.71          -30.7          82.95         5889.7           19.3            293         1481.0            261   D
         396.29         -36.05          -38.4          79.01         6800.6           12.2            262         1691.0            245   S
         388.97         -37.21          -39.6          78.24         6929.7           13.5            260         1721.0            251   D
         360.88         -41.10          -44.2          71.72         7443.1           19.9            279         1834.0            266   D
         323.25         -47.49          -49.7          77.83         8181.2           20.3            262         1995.0            297   D
         310.16         -49.85          -52.3          75.43         8453.0           19.2            262         2052.0            288   S
         291.44         -50.80          -54.3          66.70         8858.1           25.4            271         2137.0            292   D
         276.26         -50.22          -55.0          57.27         9207.4           33.3            255         2209.0            299   D
         201.61         -51.56          -57.2          51.14        11263.4           58.9            249         2609.0            352   S
         172.24         -51.86          -57.9          48.92        12285.2           55.4            246         2826.0            287   D
         160.26         -51.48          -57.4          49.22        12752.2           60.1            253         2922.0            293   S
         143.74         -52.28          -59.0          44.71        13457.2           52.2            262         3068.0            298   D
         118.25         -54.52          -61.6          41.91        14710.2           47.9            250         3320.0            288   D
         115.19         -52.84          -60.2          41.00        14878.5           49.1            257         3355.0            290   S
         109.01         -53.20          -60.0          43.56        15234.7           34.4            272         3428.0            295   D
         104.07         -54.50          -61.5          42.40        15531.9           24.9            254         3488.0            370   S
         100.73         -54.50          -61.5          42.24        15741.0           23.9            246         3525.0            308   D
          95.62         -54.03          -61.5          39.94        16074.4           33.7            262         3592.0            307   S
          91.64         -53.23          -60.4          42.05        16347.7           21.0            276         3645.0            310   D
          89.57         -53.79          -60.9          41.97        16494.2           15.3            270         3673.0            304   D
          86.69         -53.68          -61.0          40.89        16704.7            9.8            241         3715.0            299   S
          84.19         -54.00          -61.2          41.40        16892.3           10.1            208         3752.0            311   D
          81.84         -55.02          -62.5          39.73        17073.6           14.4            196         3788.0            298   D
          76.31         -55.97          -64.9          32.54        17519.3           20.4            235         3873.0            -42   S+D
