SIGNIFICANT TEMPERATURE AND HUMIDITY LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         980.17          +3.50           -8.2          42.00            0.0           18.0            270            0.0              0   T+H
         978.08          +1.70           -9.8          42.01           21.4           21.2            287            6.0            307   T
         966.89          +0.14          -10.6          44.21          124.8           22.3            287           24.0            326   T
         846.65          -9.64          -14.0          70.56         1160.9           23.0            292          226.0            368   H
         834.42         -10.47          -15.6          66.15         1273.9           26.1            295          244.0            384   T
         803.39         -10.92          -25.4          29.35         1560.2           37.9            292          289.0            354   T
         796.11         -10.10          -35.7          10.33         1629.1           40.5            289          301.0            335   H
         783.80          -8.66          -33.9          11.04         1748.4           44.7            285          323.0            325   T
         771.17          -9.28          -34.7          10.69         1873.4           46.3            282          346.0            332   H
         734.83         -12.19          -23.8          37.58         2240.5           60.0            282          413.0            277   H
         734.38         -12.23          -23.5          38.71         2245.1           60.3            282          414.0            276   T
         730.48         -11.68          -17.0          64.61         2285.4           62.8            281          423.0            268   T
         725.46          -7.22           -7.8          95.50         2338.5           66.2            278          435.0            264   T
         724.23          -7.13           -7.6          96.24         2351.7           67.0            278          438.0            264   H
         715.15          -7.05           -8.6          89.01         2450.8           69.4            273          460.0            285   T
         659.81         -11.15          -12.2          91.98         3071.7           72.3            266          574.0            350   T
         565.11         -14.61          -16.4          86.57         4241.3           87.9            274          779.0            346   T
         515.33         -19.35          -20.6          89.65         4924.2           88.7            272          901.0            327   H
         459.24         -25.30          -31.3          57.45         5763.4           88.7            271         1079.0            342   H
         415.22         -30.99          -34.5          71.57         6473.8           90.5            272         1224.0            279   T
         410.31         -31.53          -34.2          77.07         6559.5           91.6            274         1241.0            312   H
         333.26         -39.63          -44.9          57.25         7977.6           96.6            269         1550.0            263   T
         299.71         -45.06          -51.6          48.27         8683.0           99.1            267         1727.0            248   H
         285.19         -47.67          -51.9          61.74         9005.1          102.9            264         1804.0            256   H
         264.28         -50.73          -59.0          37.13         9494.2          111.4            261         1913.0            268   H
         206.62         -63.71          -69.0          49.09        11012.3          123.5            258         2256.0            273   T
         205.20         -63.96          -69.2          49.76        11053.3          123.7            258         2265.0            273   H
         192.28         -66.10          -72.9          39.15        11438.1          117.2            262         2346.0            292   T
         177.26         -61.22          -71.5          25.27        11919.9           98.8            269         2452.0            262   T
         163.93         -60.82          -73.8          17.30        12390.2           91.2            276         2556.0            282   T
         159.75         -58.74          -71.6          18.15        12546.1           87.1            280         2589.0            288   T
         149.93         -57.70          -72.9          13.24        12929.6           78.1            282         2672.0            270   T
         144.27         -58.67          -75.5          10.20        13163.3           74.4            282         2724.0            267   T
         142.49         -57.78          -75.4           9.29        13238.3           71.9            282         2741.0            266   H
         133.20         -56.72          -74.8           8.97        13647.5           66.1            279         2832.0            277   T
         100.04         -57.81          -77.4           6.93        15371.9           48.6            281         3194.0            267   T
          65.79         -56.48          -77.8           5.54        17862.7           37.8            278         3717.0            292   T
          61.00         -50.39          -73.7           4.97        18308.2           36.0            282         3810.0            294   T
          49.93         -55.64          -78.0           4.84        19474.5           24.2            239         4036.0            318   T
          45.68         -53.22          -76.1           4.88        20012.8           35.4            255         4160.0           -157   T+H

SIGNIFICANT WIND SPEED AND DIRECTION LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         980.17          +3.50           -8.2          42.00            0.0           18.0            270            0.0              0   S+D
         979.58          +2.82           -8.5          43.14            4.3           20.6            287            1.0            304   D
         846.65          -9.64          -14.0          70.56         1160.9           23.0            292          226.0            368   S
         825.31         -10.58          -20.2          45.10         1357.9           28.6            295          257.0            393   D
         719.37          -7.06           -8.2          91.28         2404.4           69.0            275          450.0            272   S
         667.36         -10.65          -11.9          90.17         2984.9           71.4            266          559.0            345   D
         613.89         -12.88          -14.3          88.75         3618.6           84.5            273          669.0            352   S
         398.80         -32.45          -36.8          65.02         6755.9           93.0            278         1280.0            278   D
         320.28         -42.04          -47.4          55.78         8244.7           94.1            269         1616.0            234   S
         208.04         -63.31          -68.8          48.10        10971.6          123.3            258         2247.0            272   D
         201.62         -64.65          -70.3          46.59        11157.8          124.5            259         2288.0            274   S
         182.06         -62.35          -71.6          28.50        11759.2           99.0            266         2414.0            251   S
         155.92         -58.88          -72.4          16.56        12692.9           82.3            282         2620.0            282   D
         138.70         -58.01          -75.4           9.58        13401.9           67.0            281         2778.0            269   S
         115.33         -57.73          -77.1           7.15        14515.1           60.1            276         3012.0            296   D
          94.90         -56.64          -76.8           6.53        15682.8           45.1            289         3264.0            273   D
          91.10         -56.67          -77.6           5.87        15925.7           37.7            275         3315.0            296   S
          87.97         -57.26          -76.8           7.12        16135.2           39.9            266         3358.0            295   D
          76.35         -56.61          -77.1           6.24        16979.1           42.2            278         3535.0            284   D
          71.60         -55.70          -77.4           5.32        17355.8           42.2            263         3613.0            297   D
          68.76         -55.07          -76.9           5.32        17595.7           48.4            269         3662.0            294   S
          63.41         -52.77          -77.8           3.56        18077.5           33.0            285         3762.0            289   D
          58.30         -52.12          -74.4           5.49        18574.6           25.8            280         3863.0            312   D
          53.45         -54.10          -75.7           5.73        19082.5           14.7            251         3962.0            313   S
          49.43         -55.59          -77.5           5.24        19532.2           26.5            238         4047.0            312   D
          45.68         -53.22          -76.1           4.88        20012.8           35.4            255         4160.0           -157   S+D
