
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 101005/1900
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  1900

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    998.00   206.00    21.80     6.70   340.00     7.00
    995.00   233.00    21.10    -1.00   304.00     1.00
    994.20   240.00    19.50    -2.20   319.00     1.00
    992.50   255.00    22.10    -0.10   316.00     1.00
    991.30   265.00    19.40    -2.40   340.00     1.00
    990.40   273.00    21.30    -0.90   349.00     1.00
    988.20   292.00    19.70    -2.30   352.00     2.00
    985.10   319.00    21.70    -0.60   348.00     2.00
    983.80   330.00    19.70    -2.20   347.00     2.00
    980.40   360.00    21.80    -0.60   345.00     3.00
    978.50   377.00    18.80    -2.80   345.00     4.00
    976.80   392.00    22.30     0.10   345.00     4.00
    974.40   414.00    21.80    -0.60   344.00     4.00
    973.20   425.00    19.20    -2.80   344.00     5.00
    970.20   451.00    21.90    -0.70   344.00     5.00
    968.80   464.00    18.90    -3.20   343.00     6.00
    967.20   478.00    20.80    -1.60   343.00     6.00
    965.40   494.00    17.30    -3.90   343.00     6.00
    963.40   512.00    18.90    -1.90   343.00     7.00
    958.20   558.00    17.20    -2.90   343.00     8.00
    952.80   607.00    19.30    -0.70   342.00     9.00
    950.90   624.00    17.70    -2.00   342.00     9.00
    947.50   656.00    19.50    -0.40   342.00    10.00
    946.90   661.00    18.20    -1.50   342.00    10.00
    942.70   700.00    17.70    -1.50   342.00    11.00
    939.90   725.00    16.90    -1.50   342.00    12.00
    934.90   771.00    18.30     0.60   342.00    13.00
    933.00   789.00    14.40    -1.30   342.00    13.00
    925.00   863.00    10.40    -0.20   342.00    15.00
    911.10   989.00     7.90    -0.90   352.00    11.00
    910.70   993.00     7.90    -1.00   352.00    11.00
    905.00  1045.00     9.50   -10.00   348.00     9.00
    903.30  1061.00     9.40   -13.00   348.00     9.00
    888.00  1202.00     8.60   -20.10   347.00    10.00
    850.00  1565.00     6.40   -23.30   351.00    14.00
    837.20  1686.00     5.80   -23.10   346.00    14.00
    820.20  1853.00     5.30   -11.80   348.00    16.00
    791.80  2140.00     3.90   -11.40   339.00    20.00
    774.30  2321.00     4.60   -23.70   345.00    23.00
    768.20  2386.00     4.50   -23.10   351.00    25.00
    700.00  3142.00    -0.10   -30.40     5.00    27.00
    699.80  3139.00    -0.10   -30.40     5.00    27.00
    692.00  3228.00    -0.40   -30.50    11.00    24.00
    683.70  3325.00    -0.30   -20.90    10.00    20.00
    602.00  4334.00    -4.10   -26.10    11.00    35.00
    581.10  4612.00    -6.10   -26.80    19.00    35.00
    564.40  4838.00    -7.60   -16.20    18.00    38.00
    549.50  5046.00    -9.00   -15.30    13.00    39.00
    500.00  5775.00   -13.80   -21.90    18.00    45.00
    425.20  6985.00   -21.30   -32.10    16.00    51.00
    400.00  7435.00   -25.10   -36.00    14.00    53.00
    327.90  8842.00   -36.30   -51.40     9.00    55.00
    300.00  9453.00   -41.50   -53.20    14.00    64.00
    260.60 10392.00   -48.00   -60.20    12.00    64.00
    250.00 10671.00   -47.30   -60.90    12.00    70.00
    200.00 12130.00   -50.60   -68.60     9.00    58.00
    198.30 12185.00   -50.40   -68.60    12.00    56.00
    150.00 13974.00   -57.90   -76.20     3.00    42.00
    130.30 14849.00   -61.70   -79.30   359.00    40.00
    100.00 16492.00   -61.60   -79.50    20.00    14.00
     70.00 18697.00   -61.30   -79.60    21.00     6.00
     64.20 19232.00   -61.70   -80.00   119.00     9.00
