
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 110208/1700
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  1700

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
   1026.00   251.00    -1.80    -7.80   300.00     5.00
   1020.60   290.00    -3.30   -11.50   327.00     2.00
   1009.00   381.00   -10.00   -14.50   351.00     2.00
   1000.00   456.00   -10.70   -13.80    28.00     3.00
    998.00   465.00   -10.80   -13.70    30.00     3.00
    961.60   750.00   -13.30   -14.60    41.00     7.00
    925.00  1044.00   -14.30   -16.10     2.00     8.00
    877.60  1441.00   -17.30   -18.70   353.00    11.00
    850.00  1679.00   -19.00   -21.10   356.00    19.00
    811.50  2023.00   -21.80   -24.00   353.00    22.00
    700.20  3095.00   -28.60   -35.50   310.00    30.00
    700.00  3102.00   -28.60   -35.50   310.00    30.00
    632.40  3824.00   -29.20   -44.30   322.00    48.00
    588.30  4338.00   -31.10   -49.70   322.00    46.00
    533.00  5034.00   -33.20   -54.60   318.00    52.00
    500.00  5490.00   -35.50   -58.30   316.00    59.00
    401.90  6984.00   -41.30   -65.40   307.00    83.00
    400.00  7022.00   -41.60   -65.70   307.00    85.00
    372.30  7498.00   -45.30   -69.10   308.00   108.00
    350.30  7905.00   -44.90   -68.50   299.00    97.00
    314.00  8633.00   -48.00   -71.50   286.00    86.00
    300.00  8940.00   -47.90   -71.70   281.00    90.00
    266.90  9702.00   -49.50   -73.00   281.00    89.00
    250.00 10135.00   -48.10   -71.50   283.00    91.00
    205.30 11433.00   -44.80   -71.90   275.00    70.00
