
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 130113/0300
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  0300

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
   1012.00   248.00     3.50     0.60   340.00     4.00
   1000.00   340.00     2.00    -1.20     6.00    17.00
    997.70   354.00     1.90    -1.40     7.00    17.00
    989.40   423.00     5.50    -4.20    10.00    22.00
    983.60   469.00     6.20    -7.70    11.00    20.00
    981.90   485.00     6.40    -7.00    13.00    19.00
    941.20   828.00     4.80     0.50    32.00     8.00
    925.00   971.00     4.90     2.70    75.00    10.00
    912.30  1081.00     5.60     5.50   116.00    12.00
    871.80  1458.00     6.40     6.30   182.00    23.00
    850.00  1669.00     5.00     4.30   196.00    25.00
    768.30  2488.00     0.60    -0.00   206.00    30.00
    717.00  3038.00    -0.20    -0.60   222.00    45.00
    700.00  3230.00    -1.40    -2.00   211.00    48.00
    534.70  5330.00   -11.30   -12.60   216.00    61.00
    500.00  5842.00   -14.40   -16.00   218.00    65.00
    439.20  6808.00   -20.70   -22.50   215.00    69.00
    400.00  7489.00   -25.60   -27.50   215.00    81.00
    336.90  8707.00   -35.20   -37.60   214.00    89.00
    300.00  9507.00   -42.00   -44.50   212.00    93.00
    250.00 10706.00   -52.70   -55.50   217.00    96.00
    213.90 11680.00   -59.60   -62.50   231.00   135.00
    208.50 11842.00   -59.50   -62.50   239.00   143.00
    200.00 12110.00   -55.80   -59.70   241.00   132.00
    192.40 12352.00   -53.90   -58.70   244.00   122.00
    187.20 12529.00   -49.70   -55.30   244.00   106.00
    169.40 13181.00   -50.50   -58.10   254.00    97.00
