
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 000100/0100
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  0100

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    998.00   251.00     2.80    -2.30    20.00     7.00
    995.00   275.00     1.10    -4.50    29.00     8.00
    965.00   521.00    -1.40    -4.30    32.00    11.00
    925.00   863.00    -4.50    -5.40    27.00    15.00
    905.20  1026.00    -5.60    -5.80    32.00    17.00
    903.50  1040.00    -5.30    -5.40    33.00    17.00
    896.10  1106.00     0.80    -7.10    33.00    19.00
    895.10  1114.00     0.80    -8.00    32.00    19.00
    885.30  1203.00     0.50   -13.10    25.00    15.00
    850.00  1530.00    -1.10   -20.90     2.00    11.00
    819.30  1821.00    -2.60   -31.40   304.00    10.00
    786.90  2142.00    -0.30   -47.60   295.00    20.00
    772.40  2290.00     0.60   -49.60   280.00    21.00
    700.00  3073.00    -4.20   -30.00   295.00    26.00
    674.10  3368.00    -6.60   -26.10   299.00    27.00
    652.00  3628.00    -8.50   -33.20   293.00    27.00
    644.00  3723.00    -8.60   -36.60   291.00    29.00
    628.60  3910.00    -9.30   -27.40   296.00    34.00
    627.40  3925.00    -9.30   -27.40   296.00    34.00
    535.10  5132.00   -19.00   -37.10   271.00    53.00
    522.70  5307.00   -17.40   -38.60   272.00    62.00
    500.00  5638.00   -19.50   -48.40   270.00    63.00
    489.10  5801.00   -19.80   -50.80   266.00    61.00
    470.90  6080.00   -22.60   -51.60   267.00    58.00
    432.60  6695.00   -27.60   -42.80   255.00    57.00
    410.10  7078.00   -30.50   -50.30   245.00    61.00
    400.00  7255.00   -32.10   -46.60   247.00    60.00
    395.30  7338.00   -32.00   -44.40   250.00    64.00
    378.00  7653.00   -34.30   -43.60   258.00    73.00
    312.10  8963.00   -44.80   -53.80   249.00    93.00
    300.00  9228.00   -46.10   -55.40   247.00   103.00
    291.40  9418.00   -47.20   -56.90   245.00   102.00
    250.90 10390.00   -55.70   -65.80   260.00   125.00
    250.00 10413.00   -55.50   -65.60   260.00   127.00
    228.30 10990.00   -56.90   -68.10   268.00   137.00
    200.00 11839.00   -51.30   -66.70   270.00   123.00
    193.80 12043.00   -51.00   -67.40   269.00   123.00
    173.70 12750.00   -53.40   -73.00   267.00   115.00
    150.00 13693.00   -56.30   -78.40   264.00   107.00
    120.80 15053.00   -61.10   -84.20   257.00   107.00
    100.00 16229.00   -61.40   -85.30   263.00    72.00
     88.70 16963.00   -64.80   -88.40   270.00    87.00
     82.80 17392.00   -60.20   -84.90   289.00    51.00
     70.00 18430.00   -63.10   -88.30   269.00    37.00
     66.00 18786.00   -64.10   -88.90   265.00    33.00
     55.30 19889.00   -58.20   -86.20   240.00    21.00
     50.00 20526.00   -57.20   -86.70   264.00    20.00
     40.10 21916.00   -58.90   -88.70   274.00    13.00
     38.10 22241.00   -56.50   -87.00   192.00    10.00
