
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 120210/2100
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2100

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    982.00   245.00     1.20    -0.70   240.00     7.00
    965.90   375.00    -0.40    -0.50   260.00    14.00
    925.00   724.00    -2.90    -3.10   272.00    22.00
    850.00  1387.00    -7.60    -7.70   267.00    21.00
    700.00  2873.00   -16.20   -16.50   260.00    31.00
    666.10  3244.00   -18.50   -18.90   254.00    34.00
    588.20  4168.00   -20.00   -29.40   249.00    44.00
    585.90  4197.00   -20.20   -29.70   249.00    44.00
    558.40  4552.00   -21.60   -24.70   250.00    49.00
    529.30  4943.00   -24.80   -26.40   247.00    54.00
    526.50  4981.00   -24.80   -26.50   248.00    54.00
    500.00  5358.00   -27.20   -29.60   247.00    55.00
    400.00  6936.00   -37.30   -43.50   249.00    72.00
    385.50  7183.00   -39.00   -46.30   253.00    77.00
    360.20  7645.00   -41.90   -48.50   249.00    81.00
    301.00  8832.00   -52.90   -59.10   258.00    78.00
    300.00  8853.00   -52.80   -59.00   259.00    79.00
    250.00 10023.00   -56.00   -63.40   257.00    80.00
    238.90 10310.00   -56.60   -64.40   258.00    74.00
    200.00 11449.00   -53.10   -62.50   257.00    76.00
    169.10 12534.00   -50.80   -61.90   261.00    62.00
    150.00 13321.00   -51.80   -63.90   262.00    65.00
    100.00 15923.00   -56.00   -70.50   278.00    68.00
     88.70 16689.00   -54.30   -69.60   283.00    58.00
     70.00 18187.00   -60.90   -76.10   253.00    46.00
     68.80 18293.00   -61.60   -76.70   258.00    50.00
     57.10 19460.00   -57.90   -73.70   279.00    50.00
     50.00 20295.00   -58.80   -74.80   281.00    43.00
     47.20 20649.00   -58.80   -74.90   270.00    34.00
