SIGNIFICANT TEMPERATURE AND HUMIDITY LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         964.25         +12.30          +12.0          98.00            0.0            6.0            180            0.0              0   T+H
         902.07         +12.08          +10.4          89.25          572.6           19.9            230          100.0            346   T
         749.64          +1.67           +1.7         100.00         2087.3           30.2            227          436.0            281   T
         740.60          +2.26           +2.3         100.00         2186.2           33.9            227          456.0            308   T
         737.74          +0.65           +0.6         100.00         2217.7           34.7            227          462.0            307   T
         733.52          +1.82           +1.8         100.00         2263.1           36.4            226          471.0            288   T
         729.66          +0.96           +0.8          98.83         2304.1           38.4            227          480.0            259   T
         727.34          -1.94           -2.4          96.88         2328.9           39.7            227          486.0            240   T
         725.89          -0.49           -0.6          99.20         2344.5           40.4            227          490.0            228   T
         723.54          -3.21           -3.3          99.51         2369.9           41.0            228          497.0            211   T
         720.25          -0.15           -0.5          97.55         2406.4           40.7            228          508.0            202   T
         711.67          -3.63           -4.1          96.76         2503.7           42.1            225          535.0            227   T
         710.66          -1.95           -2.3          97.12         2515.1           41.9            225          538.0            229   T
         708.62          -4.86           -5.4          95.79         2538.0           41.5            226          544.0            234   T
         706.21          -1.94           -2.5          96.11         2565.4           41.5            226          551.0            242   T
         702.58          -3.62           -4.1          96.16         2607.0           41.8            226          561.0            262   T
         700.28          -1.59           -2.2          95.52         2633.7           41.8            226          567.0            276   T
         698.24          -3.11           -3.6          96.69         2657.6           41.4            226          572.0            292   T
         695.26          -2.05           -2.5          96.91         2692.4           40.6            227          579.0            314   T
         692.49          -2.46           -3.1          95.46         2725.1           40.5            228          585.0            332   T
         687.08          -6.59           -7.1          95.93         2788.6           41.0            229          596.0            352   T
         669.60          -6.50           -6.7          98.42         2992.6           41.6            228          630.0            374   T
         666.44          -3.47           -3.7          98.32         3030.7           42.0            227          636.0            388   T
         633.55          -5.34           -5.4          99.75         3426.4           39.7            223          703.0            355   T
         628.14          -7.15           -7.3          99.13         3495.4           39.0            221          714.0            405   T
         626.00          -5.61           -5.6          99.92         3522.9           38.4            221          718.0            424   T
         582.55          -7.78           -8.1          97.51         4074.0           42.4            233          805.0            275   T
         561.13         -10.32          -11.0          94.42         4376.5           40.2            237          866.0            294   T
         564.98         -11.04          -12.0          92.97         4485.1           42.9            234          889.0            264   T
         555.15         -11.17          -12.3          91.68         4567.7           43.7            231          909.0            244   T
         560.23         -12.23          -13.4          91.11         4616.4           43.5            231          921.0            254   T
         542.03         -12.63          -12.7          99.72         4730.0           43.3            232          944.0            347   H
         509.70         -14.66          -15.6          92.84         5052.6           43.8            231          994.0            374   T
         493.18         -17.64          -19.1          88.28         5323.6           45.4            235         1039.0            354   T
         340.12         -38.14          -40.2          81.20         7971.2           52.9            228         1467.0            362   T
         314.91         -41.12          -43.4          78.89         8493.5           64.4            229         1556.0            361   T
         211.94         -64.19          -68.0          60.22        11013.8           96.8            232         1983.0            372   T
         191.15         -63.28          -68.5          49.95        11638.8           66.5            227         2085.0            389   T
         189.54         -62.51          -67.8          49.27        11690.6           65.3            225         2093.0            379   H
         181.94         -59.37          -64.3          53.37        11941.0           67.7            232         2137.0            338   T
         166.82         -57.29          -62.0          55.76        12477.9           65.5            250         2246.0            280   T
         152.27         -58.19          -62.9          55.30        13043.6           70.4            257         2371.0            270   T
         147.93         -56.48          -61.2          55.41        13225.5           72.3            256         2412.0            267   T
         141.40         -56.44          -61.0          57.08        13506.8           75.8            258         2474.0            277   T
         123.12         -58.13          -62.5          57.98        14358.8           64.6            268         2658.0            284   T
         115.16         -54.85          -59.4          57.21        14771.6           54.3            262         2744.0            291   T
         105.32         -57.47          -61.7          59.24        15321.9           58.5            259         2859.0            298   T
         101.10         -55.92          -60.5          56.95        15575.1           51.1            265         2908.0            300   T
          97.44         -54.67          -59.2          57.48        15799.9           57.0            267         2953.0            304   T
          88.83         -59.65          -63.8          59.18        16368.4           59.6            272         3069.0            288   T
          71.88         -59.42          -62.4          68.68        17653.6           32.0            261         3321.0            305   H
          59.41         -60.70          -65.5          53.65        18791.4           33.0            283         3546.0            279   H
          56.42         -60.25          -62.9          71.73        19098.8           30.8            289         3611.0            302   H
          50.05         -61.06          -64.7          62.81        19803.0           21.4            276         3743.0            317   H
          49.35         -60.94          -67.9          39.98        19885.3           19.6            269         3765.0              3   T+H

SIGNIFICANT WIND SPEED AND DIRECTION LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         964.25         +12.30          +12.0          98.00            0.0            6.0            180            0.0              0   S+D
         963.54         +12.37          +12.0          97.88            9.3           13.9            193            1.0            316   D
         935.90         +13.10          +11.7          91.41          263.5           21.4            202           47.0            353   S
         874.29          +9.84           +9.6          98.30          831.6           21.0            240          146.0            328   D
         809.86          +6.03           +6.0         100.00         1459.8           22.3            225          269.0            283   D
         797.21          +5.41           +5.4         100.00         1588.8           22.1            227          296.0            311   S
         714.65          -2.10           -2.6          96.73         2469.9           42.5            226          526.0            222   S
         623.73          -5.96           -6.1          99.00         3552.1           38.1            220          722.0            441   D
         567.58          -9.73          -10.5          94.45         4263.9           39.0            239          844.0            311   D
         382.81         -31.15          -32.9          84.68         7152.5           46.3            230         1341.0            402   S
         213.88         -63.58          -67.3          60.79        10959.1           97.4            232         1974.0            357   S
         187.64         -62.15          -67.4          50.30        11751.8           64.0            224         2103.0            356   D
         187.46         -62.08          -67.4          49.88        11757.7           63.9            224         2104.0            354   S
         162.73         -57.80          -61.9          60.02        12631.6           67.2            254         2279.0            274   D
         138.37         -56.76          -61.1          58.31        13639.7           76.1            261         2503.0            276   S
         124.43         -57.95          -62.1          59.44        14293.0           66.7            269         2644.0            283   D
         116.32         -55.78          -59.7          61.67        14708.8           54.4            263         2731.0            291   S
         107.77         -57.19          -60.9          63.21        15179.7           57.1            254         2829.0            284   D
          88.01         -59.41          -63.4          60.01        16425.9           59.0            275         3081.0            294   S
          83.25         -58.89          -62.9          60.25        16766.6           42.9            289         3147.0            308   D
          78.33         -58.40          -62.4          60.13        17129.8           23.6            263         3218.0            316   S
          75.59         -59.67          -64.1          56.40        17348.4           27.4            243         3260.0            304   D
          65.31         -59.75          -63.3          63.92        18227.6           29.8            295         3432.0            310   D
          61.24         -60.19          -64.3          58.80        18611.2           30.4            281         3508.0            296   D
          58.81         -60.59          -64.7          58.90        18851.2           33.1            283         3559.0            278   S
          51.84         -60.74          -64.5          61.92        19596.7           28.9            288         3705.0            334   D
          49.35         -60.94          -67.9          39.98        19885.3           19.6            269         3765.0              3   S+D
