
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 120504/0400
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  0400

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    982.00   245.00    24.20    16.80   220.00    10.00
    925.00   776.00    21.30    15.60   213.00    35.00
    850.00  1501.00    15.80    10.90   225.00    32.00
    735.60  2710.00     8.10     6.40   270.00    12.00
    704.70  3064.00     6.10     1.90   317.00    10.00
    700.00  3120.00     5.50     1.50   315.00    10.00
    633.50  3927.00     0.20    -2.00   275.00    20.00
    610.20  4228.00    -2.50    -5.50   258.00    23.00
    573.50  4716.00    -6.60    -6.70   267.00    22.00
    545.10  5111.00    -8.90    -9.10   257.00    21.00
    540.20  5181.00    -7.30    -7.40   259.00    20.00
    515.70  5540.00   -11.30   -11.40   268.00    22.00
    511.40  5604.00   -10.60   -10.70   268.00    22.00
    506.70  5676.00   -12.00   -12.10   270.00    24.00
    502.00  5747.00   -14.20   -14.90   270.00    24.00
    500.00  5778.00   -13.50   -14.50   267.00    24.00
    492.10  5898.00   -13.30   -14.10   262.00    29.00
    460.80  6395.00   -16.90   -19.70   264.00    30.00
    459.60  6414.00   -17.60   -20.30   264.00    30.00
    454.40  6499.00   -19.80   -23.80   265.00    30.00
    443.90  6671.00   -21.60   -28.50   266.00    29.00
    440.60  6727.00   -21.60   -29.30   266.00    29.00
    437.40  6781.00   -20.40   -26.70   266.00    29.00
    431.60  6880.00   -20.90   -25.90   266.00    29.00
    407.50  7302.00   -24.30   -31.70   266.00    28.00
    404.20  7361.00   -24.50   -32.10   264.00    29.00
    400.00  7439.00   -24.80   -32.00   263.00    29.00
    386.40  7688.00   -25.40   -31.00   257.00    28.00
    357.50  8246.00   -29.10   -33.80   259.00    31.00
    300.00  9475.00   -38.30   -43.50   258.00    39.00
    288.90  9734.00   -39.70   -44.50   265.00    40.00
    280.90  9926.00   -41.30   -45.80   264.00    41.00
    250.00 10708.00   -48.30   -53.80   249.00    36.00
    200.00 12136.00   -60.90   -66.80   251.00    45.00
    181.10 12742.00   -66.70   -72.80   257.00    45.00
    175.30 12935.00   -62.10   -68.50   251.00    31.00
    150.00 13898.00   -61.60   -68.00   267.00    44.00
    137.50 14435.00   -63.70   -70.20   268.00    44.00
    134.20 14583.00   -60.50   -67.10   278.00    47.00
    100.00 16406.00   -64.70   -71.80   302.00    24.00
     93.10 16836.00   -66.20   -73.50   287.00    17.00
