
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 140114/2000
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2000

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    973.00   245.00     0.00    -2.20   210.00    12.00
    961.20   344.00    -0.30    -0.50   232.00    18.00
    925.00   652.00    -1.90    -2.10   258.00    29.00
    860.50  1221.00    -5.40    -5.90   266.00    34.00
    850.00  1317.00    -5.50    -6.00   260.00    31.00
    833.90  1468.00    -4.30    -4.60   245.00    32.00
    832.60  1480.00    -4.30    -4.70   245.00    32.00
    758.30  2210.00    -9.10   -11.80   249.00    40.00
    758.00  2213.00    -9.10   -11.90   249.00    40.00
    729.40  2509.00   -12.50   -22.90   248.00    38.00
    728.80  2515.00   -12.40   -23.00   248.00    38.00
    707.00  2748.00   -11.80   -15.60   242.00    44.00
    700.00  2824.00   -12.30   -16.40   243.00    45.00
    698.00  2846.00   -12.40   -16.70   243.00    45.00
    688.70  2948.00   -14.30   -26.90   241.00    45.00
    651.80  3365.00   -14.60   -18.20   232.00    51.00
