
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 110220/1500
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  1500

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
   1023.00   251.00     1.00     1.00   140.00    10.00
   1003.30   407.00    -0.80    -0.90   146.00    25.00
   1000.00   436.00    -0.50    -0.70   149.00    27.00
    978.40   609.00     1.70     1.60   164.00    30.00
    960.80   755.00     1.20     1.10   168.00    32.00
    956.50   791.00     1.00    -1.70   164.00    33.00
    951.40   834.00     0.80     0.70   165.00    33.00
    947.40   868.00     0.90    -2.10   170.00    33.00
    946.30   878.00     0.90     0.70   171.00    33.00
    941.30   920.00     0.80     0.60   170.00    34.00
    939.20   938.00     0.70    -2.50   172.00    34.00
    937.50   953.00     0.70     0.60   174.00    35.00
    935.10   973.00     0.60     0.40   177.00    35.00
    927.60  1037.00     0.60    -3.00   182.00    33.00
    925.00  1062.00     0.60     0.40   182.00    32.00
    923.30  1075.00     0.50     0.40   182.00    31.00
    915.10  1146.00     0.60    -3.30   184.00    27.00
    912.70  1168.00     0.60     0.50   185.00    26.00
    911.10  1182.00     0.80    -3.30   186.00    26.00
    894.20  1332.00     2.10    -2.60   198.00    21.00
    892.80  1344.00     2.20     2.10   200.00    20.00
    891.30  1359.00     2.50     2.40   201.00    20.00
    878.40  1475.00     2.40     2.20   216.00    17.00
    876.60  1492.00     2.30    -3.10   218.00    17.00
    870.50  1548.00     2.10     1.90   228.00    17.00
    865.50  1595.00     1.70     1.60   232.00    17.00
    863.40  1614.00     1.60    -4.30   231.00    17.00
    860.30  1643.00     1.30    -4.70   231.00    18.00
    858.00  1665.00     1.10     1.00   231.00    18.00
    851.40  1728.00     0.80    -5.60   231.00    19.00
    850.00  1742.00     0.70    -1.50   231.00    19.00
    847.90  1761.00     0.70    -5.90   231.00    19.00
    822.10  2011.00     0.50    -7.30   231.00    22.00
    787.80  2355.00     0.10    -0.00   231.00    26.00
    700.00  3316.00     0.40     0.30   237.00    28.00
    500.00  6028.00     0.90     0.80   254.00    32.00
    487.60  6207.00     1.00     0.80   255.00    33.00
    400.00  7816.00   -13.20   -14.90   263.00    36.00
    300.00 10111.00   -33.40   -37.00   272.00    43.00
    255.60 11392.00   -44.70   -49.20   276.00    46.00
    250.00 11601.00   -46.60   -50.90   276.00    47.00
    209.20 13002.00   -58.50   -62.30   279.00    51.00
    200.00 13389.00   -58.50   -62.40   280.00    53.00
    164.80 14836.00   -60.70   -64.60   277.00    67.00
    150.00 15426.00   -58.00   -61.90   283.00    66.00
    144.50 15660.00   -57.00   -60.80   282.00    63.00
    130.70 16293.00   -60.80   -64.60   293.00    63.00
    120.10 16817.00   -58.50   -62.40   296.00    44.00
    104.90 17664.00   -60.20   -63.70   274.00    41.00
