
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 090515/2000
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2000

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    993.00   230.00    17.80     8.60   120.00    10.00
    925.00   834.00    11.90     7.10   105.00     9.00
    903.60  1025.00    10.40     5.80   128.00     9.00
    854.50  1489.00    10.00   -14.50   231.00     6.00
    852.80  1505.00     9.90   -15.20   230.00     6.00
    850.00  1535.00     9.70   -15.90   232.00     7.00
    813.80  1892.00     6.90   -19.40   249.00    12.00
    792.90  2105.00     5.40   -12.90   260.00    17.00
    773.10  2311.00     3.60    -1.50   258.00    19.00
    754.90  2503.00     2.00     0.50   252.00    19.00
    744.00  2620.00     1.20    -0.50   249.00    19.00
    733.40  2736.00     2.10     1.90   251.00    19.00
    700.00  3114.00     0.10    -0.10   250.00    19.00
    689.00  3240.00    -0.10    -0.30   240.00    23.00
    686.60  3267.00    -0.10    -0.50   239.00    24.00
    672.50  3432.00    -1.40    -5.30   243.00    24.00
    611.60  4185.00    -4.70   -10.40   282.00    20.00
    599.10  4347.00    -5.80   -11.70   291.00    25.00
    551.30  4993.00   -10.50   -14.10   294.00    31.00
    537.50  5188.00    -9.70   -12.20   280.00    41.00
    535.10  5223.00   -10.00   -12.40   278.00    41.00
    500.00  5753.00   -13.70   -16.20   257.00    32.00
    418.00  7084.00   -22.00   -24.90   255.00    47.00
    400.00  7410.00   -24.30   -27.80   256.00    47.00
    300.00  9443.00   -40.40   -45.70   258.00    56.00
    250.00 10656.00   -50.90   -56.30   264.00    66.00
    200.00 12069.00   -63.30   -69.80   268.00    76.00
    183.60 12583.00   -67.50   -74.40   269.00    90.00
    170.60 13022.00   -70.60   -76.90   270.00    97.00
    161.10 13372.00   -62.70   -70.20   282.00    67.00
    154.00 13650.00   -59.30   -66.10   280.00    46.00
    150.00 13819.00   -59.40   -65.90   273.00    43.00
    117.60 15335.00   -61.10   -66.80   268.00    44.00
    100.00 16352.00   -57.70   -63.60   273.00    37.00
     92.40 16843.00   -60.20   -66.00   274.00    32.00
     75.60 18101.00   -60.20   -66.10   275.00    29.00
     71.40 18455.00   -57.60   -63.80   290.00    17.00
     70.00 18584.00   -57.90   -64.10   288.00    14.00
     65.00 19043.00   -61.00   -67.00   305.00    13.00
     59.90 19554.00   -60.30   -66.50   237.00    24.00
