
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 130228/2200
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2200

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    983.00   245.00     0.70    -0.20   345.00     7.00
    977.10   294.00     0.00    -2.70   342.00    24.00
    925.00   724.00    -3.40    -4.40   347.00    30.00
    917.60   786.00    -3.70    -4.80   346.00    30.00
    850.00  1390.00    -6.70    -8.10     0.00    27.00
    824.60  1620.00    -8.40   -10.20   357.00    21.00
    788.40  1971.00    -6.10    -8.40   353.00    20.00
    700.00  2893.00   -10.10   -13.40    45.00    20.00
    628.40  3717.00   -13.00   -17.30    17.00    19.00
    587.50  4227.00   -15.60   -18.50    14.00    14.00
    565.10  4520.00   -16.20   -20.50   334.00    13.00
    500.00  5428.00   -22.90   -28.10   341.00    11.00
    409.80  6855.00   -33.90   -42.40   337.00    16.00
    400.00  7015.00   -35.20   -43.40   339.00    13.00
    300.00  8946.00   -49.10   -57.90    49.00    27.00
    250.00 10108.00   -57.30   -64.20    19.00    19.00
    246.20 10196.00   -57.80   -64.60     0.00    18.00
    242.50 10291.00   -58.40   -65.40   360.00    19.00
    200.00 11487.00   -54.10   -64.10   284.00    28.00
    197.80 11552.00   -53.50   -63.60   285.00    28.00
    150.00 13338.00   -53.20   -67.10   268.00    49.00
    144.70 13543.00   -52.40   -66.90   270.00    45.00
