
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 100424/1600
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  1600

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    977.00   250.00    15.30    11.20    90.00     8.00
    974.20   270.00    13.90    12.20   148.00    17.00
    969.60   310.00    13.50    12.00   147.00    17.00
    954.20   445.00    12.30    12.20   149.00    19.00
    943.90   536.00    11.90    11.70   157.00    22.00
    925.00   707.00    13.00    12.80   175.00    21.00
    907.40   867.00    13.30    13.10   193.00    17.00
    850.00  1417.00    11.50     9.20   215.00    10.00
    830.90  1607.00    11.30     8.00   227.00     9.00
    826.50  1651.00    11.10     7.90   222.00     9.00
    700.00  3018.00     2.00    -0.20   188.00    14.00
    645.50  3666.00    -1.40    -3.30   189.00    20.00
    634.00  3809.00    -2.40    -4.40   190.00    18.00
    630.70  3851.00    -2.70    -4.80   195.00    18.00
    618.40  4007.00    -6.60   -12.40   230.00    16.00
    599.70  4246.00    -6.70   -18.80   247.00    15.00
    589.30  4384.00    -4.30   -23.20   247.00    14.00
    586.70  4418.00    -4.10   -23.90   250.00    13.00
    548.40  4947.00    -6.30   -31.70   258.00    23.00
    540.10  5067.00    -7.70   -35.00   251.00    19.00
    500.00  5659.00   -13.50   -39.20   247.00    16.00
    492.20  5778.00   -14.80   -39.80   239.00    14.00
    433.90  6721.00   -21.70   -43.70   257.00    18.00
    400.00  7316.00   -26.40   -46.40   219.00    22.00
    386.30  7566.00   -28.10   -48.20   219.00    34.00
    325.00  8789.00   -35.30   -44.40   236.00    75.00
    300.00  9343.00   -38.60   -51.80   234.00    67.00
    288.90  9600.00   -40.60   -55.30   229.00    66.00
    284.50  9704.00   -41.50   -56.60   226.00    63.00
    250.00 10565.00   -48.90   -62.70   214.00    71.00
    200.00 12002.00   -57.40   -69.30   232.00   103.00
    174.00 12865.00   -63.40   -75.20   247.00    64.00
    150.00 13793.00   -56.60   -70.10   253.00    77.00
    149.30 13819.00   -56.40   -70.00   254.00    77.00
    136.30 14396.00   -57.70   -71.20   261.00    60.00
    131.50 14621.00   -54.50   -69.00   269.00    56.00
    113.60 15547.00   -60.60   -74.50   251.00    38.00
    100.00 16343.00   -61.20   -75.70   265.00    43.00
     70.00 18530.00   -63.90   -78.10   277.00    39.00
     64.30 19048.00   -65.60   -79.40   282.00    32.00
     53.30 20207.00   -59.70   -75.40   291.00    28.00
     50.00 20600.00   -61.40   -76.60   306.00    19.00
     44.10 21381.00   -60.20   -76.10   333.00    20.00
