
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 120229/1800
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  1800

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    970.00   245.00    16.30     9.60   220.00    17.00
    967.00   271.00    16.10     3.00   225.00    16.00
    964.50   293.00    15.00     1.40   226.00    17.00
    925.00   653.00    11.20     0.30   234.00    28.00
    867.00  1180.00     6.10    -0.50   235.00    33.00
    866.30  1187.00     6.10    -0.50   236.00    33.00
    850.00  1348.00     6.10    -5.80   242.00    45.00
    833.70  1501.00     7.20   -14.20   247.00    47.00
    820.10  1636.00     6.50   -21.40   249.00    44.00
    790.80  1933.00     4.20   -30.30   251.00    46.00
    700.00  2909.00    -5.10   -23.70   245.00    58.00
    666.80  3285.00    -9.00   -22.60   245.00    62.00
    665.60  3300.00    -9.10   -22.60   245.00    62.00
    632.80  3688.00   -11.00   -34.50   243.00    67.00
    610.40  3965.00   -13.00   -38.90   245.00    65.00
    565.40  4548.00   -12.90   -44.10   242.00    74.00
    561.50  4601.00   -13.20   -44.00   242.00    75.00
    500.00  5474.00   -20.50   -38.40   239.00    92.00
    456.50  6137.00   -26.40   -39.50   238.00    99.00
    455.80  6148.00   -26.70   -39.70   238.00   100.00
    433.10  6517.00   -28.20   -51.20   238.00   102.00
    412.20  6869.00   -30.50   -56.60   238.00   104.00
    400.00  7083.00   -32.20   -57.60   240.00   106.00
    300.00  9043.00   -48.00   -69.60   242.00   118.00
    298.60  9072.00   -48.30   -69.70   241.00   117.00
    275.00  9612.00   -50.40   -72.10   241.00   108.00
    263.20  9899.00   -47.50   -69.60   245.00   101.00
    250.00 10241.00   -48.70   -72.00   246.00    93.00
    231.30 10746.00   -51.00   -75.30   244.00    83.00
    200.00 11695.00   -51.00   -77.90   240.00    88.00
    180.40 12367.00   -49.70   -78.50   252.00    74.00
    150.00 13566.00   -54.20   -83.60   256.00    90.00
    138.00 14099.00   -55.80   -85.10   261.00    95.00
