
 SNPARM = PRES;HGHT;TMPC;DWPC;DRCT;SKNT

 STID = VUM           STNM =    99999   TIME = 141107/2100
 SLAT =  41.46     SLON =   -87.04   SELV =   250.0
 STIM =  2100

      PRES     HGHT     TMPC     DWPC     DRCT     SKNT
    986.00   267.00     6.20    -2.20     7.00     2.00
    983.30   273.00     5.70    -5.20   144.00     7.00
    925.00   772.00     0.70    -5.00   173.00    13.00
    854.30  1398.00    -5.40    -6.80   220.00     9.00
    850.00  1438.00    -3.80    -7.70   241.00     9.00
    844.10  1494.00    -1.00   -14.20   258.00    10.00
    840.80  1525.00     0.30   -14.70   262.00    11.00
    832.60  1602.00     0.70   -19.30   273.00    14.00
    786.30  2060.00     1.50   -28.30   300.00    23.00
    750.20  2436.00    -0.90   -29.90   301.00    24.00
    736.40  2576.00    -0.50   -34.70   308.00    27.00
    702.90  2951.00    -1.30    -7.90   296.00    35.00
    700.00  2983.00    -1.30    -7.90   295.00    33.00
    669.70  3331.00    -2.60    -6.40   310.00    30.00
    652.50  3536.00    -3.10    -7.50   304.00    35.00
    593.90  4270.00    -8.40   -10.70   310.00    32.00
    564.50  4652.00    -8.30   -12.50   311.00    41.00
    556.80  4762.00    -9.00   -13.60   309.00    41.00
    513.10  5389.00   -14.20   -16.40   302.00    41.00
    512.40  5400.00   -14.20   -16.30   303.00    41.00
    500.00  5588.00   -14.70   -18.10   306.00    39.00
    460.90  6189.00   -17.80   -24.60   301.00    40.00
    457.10  6250.00   -18.20   -25.60   303.00    40.00
    400.00  7211.00   -26.20   -30.80   294.00    46.00
    373.20  7701.00   -30.40   -33.70   291.00    49.00
    370.00  7761.00   -31.00   -34.50   291.00    50.00
    362.20  7911.00   -32.00   -36.40   296.00    52.00
    353.40  8084.00   -33.00   -43.50   299.00    54.00
    322.60  8714.00   -38.30   -45.60   299.00    53.00
    303.90  9115.00   -41.30   -49.10   304.00    59.00
    300.00  9204.00   -42.20   -50.10   304.00    59.00
    250.00 10392.00   -53.00   -61.40   310.00    65.00
    222.20 11130.00   -59.60   -66.40   309.00    72.00
    214.60 11332.00   -59.20   -65.90   308.00    66.00
    200.00 11775.00   -58.70   -68.00   303.00    68.00
    181.40 12377.00   -55.50   -69.20   296.00    72.00
    172.00 12709.00   -55.90   -72.00   300.00    64.00
    150.00 13551.00   -60.10   -77.50   302.00    73.00
    134.00 14246.00   -62.70   -79.70   299.00    65.00
    128.00 14517.00   -57.60   -76.50   303.00    64.00
    111.80 15343.00   -62.50   -81.60   293.00    51.00
    100.00 16015.00   -60.90   -80.50   289.00    51.00
     73.70 17817.00   -62.40   -82.30   303.00    29.00
     70.00 18113.00   -60.20   -81.10   316.00    32.00
     62.30 18803.00   -57.60   -80.30   293.00    22.00
     55.30 19503.00   -61.80   -83.20   297.00    23.00
     50.00 20094.00   -60.20   -82.20   288.00    17.00
     40.70 21275.00   -61.60   -83.10   296.00    11.00
