SIGNIFICANT TEMPERATURE AND HUMIDITY LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         994.65         +13.00           -1.7          36.00            0.0            3.0            200            0.0              0   T+H
         992.12         +11.00           -3.5          35.84           26.4            1.3            168            6.0            266   T
         962.54          +8.50           -2.8          44.75          277.9            4.2            195           63.0            257   T
         862.35          +2.17          -10.4          38.69         1165.2            5.3            111          321.0            196   H
         855.61          +2.14          -26.4           9.98         1228.4            5.0            102          340.0            200   H
         842.62          +1.44          -26.9          10.02         1352.6            3.4             81          374.0            237   H
         827.49          +0.88          -19.0          21.02         1495.9            3.1             37          412.0            221   H
         811.70          -0.47           -7.9          57.25         1652.4            5.1             54          448.0            289   T
         807.76          +0.14           -4.2          72.34         1691.0            5.5             61          456.0            292   H
         742.60          -2.23           -2.9          95.50         2356.5            8.9            271          592.0            297   H
         698.08          -2.89           -4.2          90.47         2838.5           26.1            306          688.0            306   T
         569.23         -12.08          -14.2          83.85         4409.3           33.8            265         1007.0            300   T
         492.23         -17.02          -19.8          79.27         5495.4           62.5            261         1224.0            319   T
         484.12         -15.48          -17.5          84.20         5618.7           65.1            267         1247.0            327   T
         460.79         -17.43          -20.0          80.27         5985.4           63.1            276         1313.0            331   T
         436.36         -20.14          -22.0          85.03         6380.4           62.5            275         1385.0            321   H
         277.21         -45.17          -56.0          29.10         9479.2           57.0            279         2274.0            203   H
         225.86         -56.60          -65.7          31.61        10769.2           60.6            269         2662.0            207   T
         177.39         -67.39          -73.2          44.49        12208.8           64.8            288         3037.0            234   T
         171.20         -67.03          -72.9          44.28        12410.5           53.6            292         3091.0            223   H
         165.11         -67.55          -76.1          29.45        12619.1           49.8            283         3147.0            221   T
         158.09         -62.78          -77.5          12.87        12871.9           51.2            292         3215.0            225   T
         152.51         -61.70          -80.4           7.14        13083.2           43.3            299         3273.0            218   H
         139.05         -59.63          -77.4           8.75        13629.2           37.5            292         3432.0            213   T
         107.43         -58.95          -77.9           7.38        15142.3           29.5            297         3848.0            234   T
          84.04         -61.31          -79.8           7.43        16560.6           26.1            299         4222.0            232   T
          65.39         -58.00          -77.6           6.92        17979.0           24.0            320         4603.0            225   T
          59.45         -60.49          -79.0           7.60        18511.6           13.8            313         4744.0            238   T
          53.28         -57.23          -77.0           6.81        19118.1           22.7            303         4895.0            237   T
          44.74         -59.38          -77.8           7.87        20069.3           21.5            316         5126.0            254   T
          40.66         -55.72          -75.3           7.39        20570.9           22.9            358         5256.0            226   T
          33.56         -57.32          -78.8           5.25        21586.7            1.2            167         5504.0            -11   T+H

SIGNIFICANT WIND SPEED AND DIRECTION LEVELS
-------------------------------------------
          Press           Temp             DP         RelHum        GPM_AGL         WSpeed          WDirn           Time         Ascent   Type
            hPa             °C             °C              %              m            kts              °              s          m/min
---------------------------------------------------------------------------------------------------------------------------------------
         994.65         +13.00           -1.7          36.00            0.0            3.0            200            0.0              0   S+D
         775.24          -0.83           -2.4          89.00         2017.0            1.4            151          522.0            293   S
         739.79          -2.27           -3.0          94.94         2386.4            9.8            276          598.0            301   D
         703.15          -2.79           -4.0          91.65         2782.5           24.3            307          677.0            303   D
         691.36          -3.39           -4.9          89.39         2914.3           27.5            305          703.0            302   S
         600.77          -9.34          -11.4          84.86         4001.4           22.7            281          924.0            285   S
         522.18         -14.99          -17.8          79.45         5055.3           53.3            259         1137.0            291   D
         482.01         -15.56          -17.8          82.95         5651.5           65.4            269         1253.0            330   S
         460.10         -17.54          -20.1          80.60         5996.4           63.1            277         1315.0            331   D
         320.76         -36.95          -43.4          51.38         8521.4           68.9            280         1984.0            195   S
         313.57         -38.32          -45.1          48.93         8673.2           66.9            281         2030.0            204   D
         257.81         -49.17          -59.6          28.96         9948.3           52.2            272         2413.0            200   S
         238.83         -53.44          -64.3          25.98        10426.6           56.5            267         2560.0            195   D
         200.31         -61.64          -69.5          35.11        11490.9           74.3            276         2859.0            240   S
         171.87         -66.89          -73.0          42.65        12388.4           54.5            292         3085.0            220   D
         162.61         -65.29          -76.5          20.47        12707.2           50.8            281         3171.0            222   D
         150.84         -61.92          -79.6           8.27        13147.8           40.9            300         3291.0            214   D
         148.05         -60.73          -79.1           7.73        13258.6           38.5            298         3323.0            204   S
         137.30         -59.82          -77.4           8.92        13704.3           36.5            290         3453.0            219   D
         127.18         -59.91          -76.9           9.69        14156.0           34.6            303         3575.0            217   D
          68.19         -59.53          -79.3           6.43        17746.2           19.7            300         4541.0            229   D
          61.81         -59.60          -77.9           7.97        18295.6           16.1            343         4688.0            228   D
          60.39         -59.94          -78.5           7.69        18425.7           12.9            326         4722.0            234   S
          56.42         -59.32          -78.8           6.71        18801.3           20.8            286         4816.0            246   D
          51.20         -57.54          -77.1           7.01        19338.0           18.3            321         4951.0            234   D
          46.40         -58.98          -77.5           7.91        19874.1           20.0            303         5081.0            265   D
          41.10         -56.30          -76.2           6.86        20511.3           23.5            352         5240.0            226   S
          40.55         -56.09          -76.0           6.92        20585.8           22.5            360         5260.0            226   D
          40.52         -56.15          -75.9           7.07        20589.5           22.4              0         5261.0            226   D
          37.96         -56.59          -76.0           7.38        20946.5            9.7             34         5350.0            256   D
          33.56         -57.32          -78.8           5.25        21586.7            1.2            167         5504.0            -11   S+D
